model_id,dependent,independent,group_var,group_n,fit_chisq,fit_df,fit_p,fit_cfi,fit_tli,fit_rmsea,fit_srmr,r2_averageNumerical,r2_averageNonNumerical,r2_HBM_risk,r2_HBM_benefit,r2_dep,path,chisq_diff,df_diff,p_value,note
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,averageNumerical       ~ mean_subjective_numeracy,0.132,1,0.7161,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,averageNonNumerical    ~ mean_subjective_numeracy,2.255,1,0.1332,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_risk_3     ~ averageNumerical,0.563,1,0.4531,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_risk_3     ~ averageNonNumerical,0.402,1,0.5262,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_benefit_3  ~ averageNumerical,0.415,1,0.5193,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_benefit_3  ~ averageNonNumerical,3.758,1,0.0525,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_acceptance_4               ~ HBM_average_benefit_3,0.085,1,0.771,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_acceptance_4               ~ HBM_average_risk_3,0.038,1,0.8452,
8,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,14.136,10,0.1669,0.987,0.962,0.061,0.033,0.045,0.013,0.233,0.28,0.153,averageNumerical       ~ mean_subjective_numeracy,1.598,1,0.2061,
8,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,14.136,10,0.1669,0.987,0.962,0.061,0.033,0.045,0.013,0.233,0.28,0.153,averageNonNumerical    ~ mean_subjective_numeracy,3.069,1,0.0798,
