"berlin_correct_count","mean_subjective_numeracy","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.21,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.28,0.03,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.13,0.13,0.82,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,0.16,0.69,0.46,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.17,-0.07,0.61,0.72,0.46,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.22,-0.06,0.31,0.46,-0.04,0.37,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.22,0.13,0.77,0.62,0.78,0.23,0.45,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.12,0.34,0.68,0.53,0.44,0.6,0.04,0.1,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.16,-0.03,0.57,0.78,0.45,0.21,0.65,0.16,0.41,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.16,-0.2,0.13,0.47,-0.12,0.15,0.16,0.6,-0.16,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.25,0.1,0.84,0.93,0.61,0.46,0.52,0.27,0.71,0.7,0.75,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.18,0.06,0.93,0.84,0.75,0.7,0.72,0.47,0.55,0.44,0.59,0.25,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.07,0.17,0.89,0.61,0.87,0.82,0.38,0.17,0.62,0.61,0.4,0,0.64,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.25,-0.08,0.64,0.81,0.34,0.32,0.84,0.65,0.27,0.08,0.59,0.45,0.54,0.81,0.39,NA,NA,NA,NA,NA,NA,NA,NA
-0.19,0.26,0.82,0.65,0.69,0.47,0.28,-0.02,0.89,0.88,0.37,-0.1,0.8,0.56,0.7,0.2,NA,NA,NA,NA,NA,NA,NA
-0.2,-0.14,0.46,0.8,0.23,0.23,0.53,0.47,0.17,0.16,0.81,0.76,0.74,0.54,0.27,0.66,0.19,NA,NA,NA,NA,NA,NA
0.26,0.3,0.08,-0.01,0.06,0.11,0.02,-0.1,0.05,0.14,0.04,-0.21,0.01,0.05,0.1,-0.03,0.11,-0.1,NA,NA,NA,NA,NA
0.4,0.53,-0.07,-0.23,-0.02,0,-0.27,-0.06,-0.04,0.14,-0.33,-0.24,-0.19,-0.14,-0.01,-0.24,0.05,-0.37,0.37,NA,NA,NA,NA
0.25,-0.05,-0.23,-0.33,-0.09,-0.15,-0.02,-0.22,-0.18,-0.28,-0.26,-0.28,-0.39,-0.16,-0.14,-0.14,-0.26,-0.34,0.12,0.15,NA,NA,NA
0.07,0.18,0.34,0.24,0.53,0.03,0.52,-0.52,0.46,0.1,0.38,-0.3,0.26,0.29,0.36,0.12,0.32,0.07,0.04,-0.06,0.28,NA,NA
-0.11,-0.06,-0.21,-0.12,-0.38,0.11,-0.38,0.57,-0.45,-0.1,-0.26,0.39,-0.18,-0.11,-0.18,0.02,-0.31,0.06,0.03,-0.01,-0.24,-0.74,NA
