"berlin_correct_count","mean_subjective_numeracy","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.04,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.03,0.11,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.04,0.12,0.71,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.04,0.13,0.62,0.51,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.03,0.15,0.63,0.55,0.59,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.08,-0.08,0.26,0.48,-0.35,0.46,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,0.17,0.65,0.47,0.81,0.04,0.55,-0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,0.02,0.75,0.74,0.3,0.59,0.19,0.36,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.09,0.24,0.54,0.63,0.59,0.12,0.51,-0.14,0.59,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.11,-0.08,0.27,0.58,-0.19,0.44,-0.12,0.76,-0.29,0.42,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.02,0.12,0.85,0.94,0.56,0.47,0.42,0.25,0.61,0.77,0.72,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.06,0.13,0.94,0.85,0.6,0.7,0.64,0.43,0.42,0.6,0.46,0.38,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.05,0.16,0.88,0.64,0.81,0.71,0.45,0.03,0.6,0.56,0.49,0.13,0.68,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.04,0.04,0.63,0.76,0.12,0.4,0.61,0.74,0.04,0.41,0.24,0.53,0.48,0.78,0.33,NA,NA,NA,NA,NA,NA,NA,NA
0,0.12,0.86,0.73,0.7,0.36,0.47,-0.07,0.84,0.78,0.54,0.05,0.84,0.62,0.72,0.26,NA,NA,NA,NA,NA,NA,NA
-0.03,0.07,0.52,0.81,0.19,0.41,0.2,0.5,0.12,0.47,0.64,0.82,0.8,0.56,0.38,0.54,0.35,NA,NA,NA,NA,NA,NA
0.14,0.01,-0.04,-0.1,0.02,0.06,0.03,-0.03,-0.06,-0.16,-0.04,-0.09,-0.14,0.04,0.06,0,-0.13,-0.09,NA,NA,NA,NA,NA
0.27,0.16,0.21,0.16,0.28,0.08,0.14,-0.22,0.32,0.13,0.32,-0.09,0.25,0.12,0.25,-0.07,0.28,0.11,-0.06,NA,NA,NA,NA
-0.03,-0.12,0.18,0,0.46,-0.08,0.27,-0.44,0.37,0.07,0.1,-0.3,0.09,0.09,0.27,-0.16,0.28,-0.17,-0.08,0.21,NA,NA,NA
0.15,0.03,0.32,0.13,0.62,-0.09,0.43,-0.54,0.66,0.04,0.34,-0.34,0.26,0.18,0.39,-0.14,0.46,-0.06,0.08,0.29,0.47,NA,NA
-0.08,-0.03,-0.15,0,-0.46,0.21,-0.24,0.48,-0.52,0.02,-0.21,0.37,-0.11,-0.01,-0.2,0.22,-0.33,0.17,-0.09,-0.18,-0.49,-0.63,NA
