,berlin_correct_count,mean_subjective_numeracy,averageNumerical,averageNonNumerical,averageInformativenessPositiveNumerical,averageInformativenessNetagtiveNumerical,averageInformativenessPositiveNonNumerical,averageInformativenessNetagtiveNonNumerical,averageCredibilityPositiveNumerical,averageCredibilityNetagtiveNumerical,averageCredibilityPositiveNonNumerical,averageCredibilityNetagtiveNonNumerical,averageCredibility,averageInformativeness,averageInformativenessNumerical,averageInformativenessNonNumerical,averageCredibilityNumerical,averageCredibilityNonNumerical,health_correct_count,数値態度_平均,HBM_average_Acceptance,HBM_average_Benefit,HBM_average_Risk,Q1
berlin_correct_count,,,,,,,,,,,,,,,,,,,,,,,,
mean_subjective_numeracy,0.27,,,,,,,,,,,,,,,,,,,,,,,
averageNumerical,0,0.06,,,,,,,,,,,,,,,,,,,,,,
averageNonNumerical,-0.17,-0.05,0.8,,,,,,,,,,,,,,,,,,,,,
averageInformativenessPositiveNumerical,0.04,0.08,0.69,0.35,,,,,,,,,,,,,,,,,,,,
averageInformativenessNetagtiveNumerical,0.07,0.12,0.56,0.28,0.16,,,,,,,,,,,,,,,,,,,
averageInformativenessPositiveNonNumerical,-0.1,-0.07,0.59,0.57,0.45,0.02,,,,,,,,,,,,,,,,,,
averageInformativenessNetagtiveNonNumerical,-0.19,-0.13,0.23,0.46,-0.35,0.34,0.07,,,,,,,,,,,,,,,,,
averageCredibilityPositiveNumerical,0.11,0.14,0.63,0.46,0.77,-0.03,0.4,-0.42,,,,,,,,,,,,,,,,
averageCredibilityNetagtiveNumerical,0.06,0.07,0.65,0.59,0.19,0.51,0.03,0.22,0.31,,,,,,,,,,,,,,,
averageCredibilityPositiveNonNumerical,-0.08,0.04,0.49,0.7,0.47,-0.05,0.52,-0.08,0.58,0.17,,,,,,,,,,,,,,
averageCredibilityNetagtiveNonNumerical,-0.31,-0.2,0.09,0.52,-0.33,0.17,-0.08,0.69,-0.34,0.26,0.11,,,,,,,,,,,,,
averageCredibility,-0.1,0.01,0.74,0.91,0.44,0.23,0.35,0.18,0.62,0.68,0.75,0.44,,,,,,,,,,,,
averageInformativeness,-0.08,-0.01,0.9,0.72,0.57,0.64,0.67,0.45,0.33,0.41,0.38,0.19,0.52,,,,,,,,,,,
averageInformativenessNumerical,0.07,0.12,0.83,0.42,0.8,0.71,0.33,-0.04,0.53,0.44,0.3,-0.13,0.45,0.78,,,,,,,,,,
averageInformativenessNonNumerical,-0.2,-0.14,0.55,0.7,0.05,0.26,0.71,0.75,-0.03,0.18,0.28,0.43,0.35,0.76,0.19,,,,,,,,,
averageCredibilityNumerical,0.11,0.13,0.79,0.64,0.63,0.26,0.28,-0.15,0.85,0.77,0.49,-0.08,0.8,0.45,0.6,0.08,,,,,,,,
averageCredibilityNonNumerical,-0.27,-0.12,0.37,0.81,0.06,0.09,0.27,0.44,0.12,0.29,0.7,0.79,0.78,0.37,0.1,0.49,0.24,,,,,,,
health_correct_count,0.28,0.17,-0.03,-0.23,-0.01,0.22,-0.05,-0.03,-0.1,-0.1,-0.2,-0.24,-0.26,0.05,0.13,-0.06,-0.12,-0.29,,,,,,
数値態度_平均,0.36,0.39,0.2,0.02,0.22,0.14,-0.11,-0.11,0.26,0.27,0.03,-0.23,0.12,0.07,0.24,-0.15,0.33,-0.15,0.12,,,,,
HBM_average_Acceptance,0.08,-0.18,0.14,-0.03,0.37,-0.1,0.23,-0.32,0.24,-0.01,0,-0.24,-0.01,0.09,0.21,-0.07,0.16,-0.17,-0.05,0.13,,,,
HBM_average_Benefit,0.08,0.06,0.37,0.13,0.65,-0.01,0.38,-0.43,0.57,0.02,0.31,-0.37,0.2,0.27,0.45,-0.05,0.39,-0.07,-0.04,0.16,0.48,,,
HBM_average_Risk,-0.17,0,-0.2,-0.07,-0.45,0.15,-0.27,0.49,-0.51,0.01,-0.31,0.32,-0.19,-0.05,-0.23,0.17,-0.34,0.04,0.05,-0.11,-0.48,-0.66,,
Q1,0.15,-0.01,0.22,0.07,0.42,-0.12,0.33,-0.37,0.42,0,0.22,-0.33,0.12,0.12,0.23,-0.05,0.28,-0.1,0.03,0.19,0.62,0.61,-0.51,
