,berlin_correct_count,mean_subjective_numeracy,averageNumerical,averageNonNumerical,averageInformativenessPositiveNumerical,averageInformativenessNetagtiveNumerical,averageInformativenessPositiveNonNumerical,averageInformativenessNetagtiveNonNumerical,averageCredibilityPositiveNumerical,averageCredibilityNetagtiveNumerical,averageCredibilityPositiveNonNumerical,averageCredibilityNetagtiveNonNumerical,averageCredibility,averageInformativeness,averageInformativenessNumerical,averageInformativenessNonNumerical,averageCredibilityNumerical,averageCredibilityNonNumerical,health_correct_count,数値態度_平均,HBM_average_Acceptance,HBM_average_Benefit,HBM_average_Risk,Q1
berlin_correct_count,,,,,,,,,,,,,,,,,,,,,,,,
mean_subjective_numeracy,0.14,,,,,,,,,,,,,,,,,,,,,,,
averageNumerical,0.09,0.2,,,,,,,,,,,,,,,,,,,,,,
averageNonNumerical,-0.01,0.14,0.9,,,,,,,,,,,,,,,,,,,,,
averageInformativenessPositiveNumerical,0.19,0.18,0.77,0.55,,,,,,,,,,,,,,,,,,,,
averageInformativenessNetagtiveNumerical,-0.03,0.16,0.74,0.66,0.34,,,,,,,,,,,,,,,,,,,
averageInformativenessPositiveNonNumerical,0.05,0.11,0.66,0.63,0.67,0.2,,,,,,,,,,,,,,,,,,
averageInformativenessNetagtiveNonNumerical,-0.2,-0.02,0.3,0.51,-0.25,0.51,-0.09,,,,,,,,,,,,,,,,,
averageCredibilityPositiveNumerical,0.22,0.24,0.75,0.55,0.84,0.29,0.59,-0.27,,,,,,,,,,,,,,,,
averageCredibilityNetagtiveNumerical,0.1,0.13,0.83,0.78,0.49,0.68,0.33,0.34,0.55,,,,,,,,,,,,,,,
averageCredibilityPositiveNonNumerical,-0.02,0.13,0.64,0.75,0.59,0.35,0.68,0.07,0.5,0.44,,,,,,,,,,,,,,
averageCredibilityNetagtiveNonNumerical,-0.18,-0.06,0.33,0.63,-0.14,0.48,0.01,0.81,-0.17,0.38,0.29,,,,,,,,,,,,,
averageCredibility,0.04,0.16,0.91,0.96,0.63,0.64,0.56,0.34,0.67,0.83,0.78,0.54,,,,,,,,,,,,
averageInformativeness,0.01,0.17,0.95,0.9,0.68,0.79,0.67,0.46,0.56,0.71,0.64,0.45,0.84,,,,,,,,,,,
averageInformativenessNumerical,0.11,0.21,0.92,0.73,0.85,0.78,0.55,0.11,0.72,0.71,0.59,0.18,0.77,0.89,,,,,,,,,,
averageInformativenessNonNumerical,-0.13,0.06,0.68,0.83,0.24,0.54,0.6,0.74,0.18,0.49,0.51,0.65,0.65,0.82,0.46,,,,,,,,,
averageCredibilityNumerical,0.18,0.21,0.89,0.75,0.77,0.53,0.53,0.01,0.9,0.86,0.53,0.09,0.84,0.71,0.81,0.36,,,,,,,,
averageCredibilityNonNumerical,-0.13,0.04,0.59,0.85,0.25,0.52,0.4,0.58,0.17,0.5,0.77,0.83,0.81,0.67,0.46,0.73,0.37,,,,,,,
health_correct_count,0.23,0.07,0.05,0.07,0.08,0.02,0.04,-0.01,0.07,0.01,0.12,0.06,0.09,0.05,0.06,0.02,0.04,0.11,,,,,,
数値態度_平均,0.26,0.24,0.16,0.07,0.2,0.17,0.03,-0.06,0.16,0.14,0.04,-0.02,0.11,0.14,0.23,-0.03,0.17,0.01,0.08,,,,,
HBM_average_Acceptance,0.04,0,0.07,-0.1,0.35,-0.14,0.24,-0.44,0.29,-0.04,0.03,-0.39,-0.04,0,0.15,-0.19,0.16,-0.24,-0.07,0.11,,,,
HBM_average_Benefit,0.22,0.09,0.37,0.21,0.6,0.05,0.5,-0.45,0.62,0.16,0.36,-0.3,0.3,0.27,0.43,-0.02,0.47,0,0.13,0.23,0.38,,,
HBM_average_Risk,-0.22,-0.08,-0.12,0.08,-0.44,0.17,-0.29,0.54,-0.46,0.03,-0.1,0.51,0,0,-0.2,0.24,-0.26,0.28,-0.14,-0.06,-0.46,-0.6,,
Q1,0.18,-0.04,0.32,0.16,0.54,-0.04,0.46,-0.38,0.55,0.12,0.3,-0.34,0.22,0.22,0.34,0,0.4,-0.05,0.07,0.07,0.37,0.54,-0.51,
