StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Q57_1,Q47,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q33_10,Q33_11,Q35,Q16_1,Q39_1,Q40_1,Q41_1,Q42_1,Q53,Q56,Q55,Q54,Q21,Q18,Q22,Q43_1,Q19,Q20,Q36,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q51_1,Q59_1,Q52_1,Q60_1,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_6,Q58_7,Q58_8,Q58_9,Q61_1,Q50,Q46_1,Q29,Q27,id,eqtid
2021/8/26 6:45,2021/8/26 6:47,0,123.222.107.129,100,117,1,2021/8/26 6:47,R_3nJJpyHaNTuY9YH,,,,,34.98710632,135.8417053,anonymous,JA,2,17,4,,,,,,,,,,,,,11,4,4,6,7,1,2,2,3,2,3,1,5,,2,,3,3,2,3,2,3,2,3,2,2,8,7,7,7,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,3,3,8,3,5,11,,,
2021/8/26 7:02,2021/8/26 7:04,1,,100,167,1,2021/8/26 7:04,R_3m2b564ERDhYSmN,,,,,34.98710632,135.8417053,preview,JA,1,18,1,5,3,3,1,3,2,3,4,2,1,4,,8,1,7,9,9,1,2,1,2,3,2,2,8,2,,,1,3,1,5,6,5,4,4,6,5,6,8,8,8,5,3,3,1,1,6,7,6,7,6,1,2,5,7,6,4,5,7,6,8,4,6,11,,,
2021/8/26 9:20,2021/8/26 9:21,0,119.75.226.67,100,78,1,2021/8/26 9:21,R_2aRLA5K2a666XXy,,,,,35.75489807,139.8588867,anonymous,JA,2,17,4,,,,,,,,,,,,,2,5,4,6,5,2,1,2,2,2,1,1,4,,1,,3,5,2,2,3,3,2,3,4,1,5,6,5,6,3,2,3,4,3,2,3,2,5,4,4,3,2,4,3,4,3,4,3,5,3,4,25,,58Fy36g0XXSY,a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d
2021/8/26 9:32,2021/8/26 9:38,0,119.75.226.67,100,328,1,2021/8/26 9:38,R_3kn3TqIRLcMa080,,,,,35.75489807,139.8588867,anonymous,JA,2,17,4,,,,,,,,,,,,,8,4,3,6,6,3,2,2,2,4,3,2,1,,,2,5,5,3,3,2,3,4,4,2,4,5,7,5,5,3,3,2,5,4,6,5,4,5,6,5,4,3,2,5,4,6,5,5,5,3,4,10,,BKY2hsVrSFlX,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 9:43,2021/8/26 9:45,0,119.75.226.67,100,90,1,2021/8/26 9:45,R_ALmqyKY0SznGtjz,,,,,35.75489807,139.8588867,anonymous,JA,2,17,3,,,,,,,,,,,,,2,4,2,6,5,2,2,3,1,3,3,2,1,,,1,4,3,2,3,4,3,2,4,3,2,5,7,5,6,3,2,3,4,3,4,3,2,3,4,3,4,3,2,3,3,4,3,4,5,3,4,20,テスト,b9ng4lZetrsD,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 9:49,2021/8/26 9:50,0,119.75.226.67,100,75,1,2021/8/26 9:50,R_3ltvCIDtzQCdwnP,,,,,35.75489807,139.8588867,anonymous,JA,2,16,5,,,,,,,,,,,,,2,3,3,6,6,1,1,2,2,2,2,2,4,1,,,3,4,2,4,3,3,1,2,2,3,5,6,5,5,2,3,3,4,3,5,4,6,5,4,3,2,3,4,3,4,3,4,3,5,3,5,10,,tgtJp8rz1mqH,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 10:53,2021/8/26 10:55,0,125.9.14.205,100,105,1,2021/8/26 10:55,R_1Hozkj1IJbLOrSk,,,,,34.98710632,135.8417053,anonymous,JA,2,17,5,,,,,,,,,,,,,9,2,2,4,4,2,2,2,2,2,2,2,2,,2,,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,66,,WW45S1f5Cty5,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 11:39,2021/8/26 11:40,0,125.9.14.205,100,79,1,2021/8/26 11:40,R_3CEsKQOnhCO5GO7,,,,,34.98710632,135.8417053,anonymous,JA,4,16,1,2,2,2,2,3,2,2,2,3,1,1,,2,2,2,4,4,2,2,2,2,2,2,2,2,,2,,2,1,2,2,2,2,2,1,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,23,,dbjefmOaZck0,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 11:42,2021/8/26 11:43,0,125.9.14.205,100,87,1,2021/8/26 11:43,R_1EjoruipuElWtg0,,,,,34.98710632,135.8417053,anonymous,JA,4,17,2,4,3,3,3,5,3,3,3,3,3,3,7,8,3,3,6,6,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,,PKZMo2ynnCPQ,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 11:49,2021/8/26 11:50,0,125.9.14.205,100,63,1,2021/8/26 11:50,R_aXkOKomKK4GYWUV,,,,,34.98710632,135.8417053,anonymous,JA,2,17,1,2,2,2,2,5,3,2,5,2,2,2,7,2,2,2,5,4,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,,S7XfvhKPp6V0,07ec68e4080afd6b83525ee500ebda56b8a83e93
2021/8/26 12:16,2021/8/26 12:17,0,126.113.34.234,100,89,1,2021/8/26 12:17,R_2aREFV1nWcdIFoS,,,,,35.56019592,139.7276001,anonymous,JA,2,17,5,,,,,,,,,,,,,8,4,3,6,7,2,2,2,2,2,2,2,4,,1,,3,1,3,3,4,2,4,2,3,3,6,5,6,5,3,2,4,3,4,3,4,3,2,3,4,3,2,4,3,4,3,4,3,4,3,4,30,,QANGHkAlDuT6,a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d
2021/8/26 13:39,2021/8/26 13:42,0,133.3.201.14,100,163,1,2021/8/26 13:42,R_1OTzUQ3bziWyARE,,,,,34.98710632,135.8417053,anonymous,JA,2,19,3,2,2,2,2,2,2,2,2,1,2,2,,10,5,5,6,6,3,1,1,1,4,1,1,8,,,2,3,3,3,3,3,3,3,3,3,3,9,7,8,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,55,楠見,t4R6HJzxteSb,a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d
