StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Effectiveness_1,Omicron_1,Safeness_1,Possibility of infec_1,Regret_1,Q9,Q12,Q10,Q2,HBM_1,HBM_2,HBM_3,HBM_4,HBM_5,HBM_6,数値態度_1,数値態度_2,数値態度_3,数値態度_4,数値態度_5,数値態度_6,数値態度_7,数値態度_8,数値態度_9,数値態度_10,Q36,CS_dload_why_1,CS_dload_why_2,CS_dload_why_3,CS_dload_why_4,CS_dload_why_5,CS_dload_why_6,CS_notwork_why_1,CS_notwork_why_2,CS_notwork_why_3,CS_notwork_why_4,CS_notwork_why_5,CS_notwork_why_6,Q136_1,Q136_2,Q136_3,Q136_4,Q136_5,Q136_6,Q136_7,CS_notdload_why_1,CS_notdload_why_2,CS_notdload_why_3,CS_notdload_why_4,CS_notdload_why_5,CS_notdload_why_6,CS_notdload_why_7,CS_notdload_why_8,Q150,Q163_1,Q163_2,Q163_3,Q163_4,Q163_5,Q163_6,Q72_1_1,Q72_1_2,Q72_1_3,Q72_1_4,Q72_1_5,Q72_1_6,Q72_1_7,Q72_1_8,Q72_1_9,Q72_1_10,Q72_1_11,Q72_1_12,Q72_2_1,Q72_2_2,Q72_2_3,Q72_2_4,Q72_2_5,Q72_2_6,Q72_2_7,Q72_2_8,Q72_2_9,Q72_2_10,Q72_2_11,Q72_2_12,Q72_3_1,Q72_3_2,Q72_3_3,Q72_3_4,Q72_3_5,Q72_3_6,Q72_3_7,Q72_3_8,Q72_3_9,Q72_3_10,Q72_3_11,Q72_3_12,Q72_4_1,Q72_4_2,Q72_4_3,Q72_4_4,Q72_4_5,Q72_4_6,Q72_4_7,Q72_4_8,Q72_4_9,Q72_4_10,Q72_4_11,Q72_4_12,Q72_5_1,Q72_5_2,Q72_5_3,Q72_5_4,Q72_5_5,Q72_5_6,Q72_5_7,Q72_5_8,Q72_5_9,Q72_5_10,Q72_5_11,Q72_5_12,Q72_6_1,Q72_6_2,Q72_6_3,Q72_6_4,Q72_6_5,Q72_6_6,Q72_6_7,Q72_6_8,Q72_6_9,Q72_6_10,Q72_6_11,Q72_6_12,Q72_7_1,Q72_7_2,Q72_7_3,Q72_7_4,Q72_7_5,Q72_7_6,Q72_7_7,Q72_7_8,Q72_7_9,Q72_7_10,Q72_7_11,Q72_7_12,Q72_8_1,Q72_8_2,Q72_8_3,Q72_8_4,Q72_8_5,Q72_8_6,Q72_8_7,Q72_8_8,Q72_8_9,Q72_8_10,Q72_8_11,Q72_8_12,Q72_9_1,Q72_9_2,Q72_9_3,Q72_9_4,Q72_9_5,Q72_9_6,Q72_9_7,Q72_9_8,Q72_9_9,Q72_9_10,Q72_9_11,Q72_9_12,Q76_1_1,Q76_1_2,Q76_1_3,Q76_1_4,Q76_1_5,Q76_1_6,Q76_1_7,Q76_1_8,Q76_1_9,Q76_1_10,Q76_1_11,Q76_1_12,Q76_2_1,Q76_2_2,Q76_2_3,Q76_2_4,Q76_2_5,Q76_2_6,Q76_2_7,Q76_2_8,Q76_2_9,Q76_2_10,Q76_2_11,Q76_2_12,Q76_3_1,Q76_3_2,Q76_3_3,Q76_3_4,Q76_3_5,Q76_3_6,Q76_3_7,Q76_3_8,Q76_3_9,Q76_3_10,Q76_3_11,Q76_3_12,Q76_4_1,Q76_4_2,Q76_4_3,Q76_4_4,Q76_4_5,Q76_4_6,Q76_4_7,Q76_4_8,Q76_4_9,Q76_4_10,Q76_4_11,Q76_4_12,Q76_5_1,Q76_5_2,Q76_5_3,Q76_5_4,Q76_5_5,Q76_5_6,Q76_5_7,Q76_5_8,Q76_5_9,Q76_5_10,Q76_5_11,Q76_5_12,Q76_6_1,Q76_6_2,Q76_6_3,Q76_6_4,Q76_6_5,Q76_6_6,Q76_6_7,Q76_6_8,Q76_6_9,Q76_6_10,Q76_6_11,Q76_6_12,Q76_7_1,Q76_7_2,Q76_7_3,Q76_7_4,Q76_7_5,Q76_7_6,Q76_7_7,Q76_7_8,Q76_7_9,Q76_7_10,Q76_7_11,Q76_7_12,Q76_8_1,Q76_8_2,Q76_8_3,Q76_8_4,Q76_8_5,Q76_8_6,Q76_8_7,Q76_8_8,Q76_8_9,Q76_8_10,Q76_8_11,Q76_8_12,Q76_9_1,Q76_9_2,Q76_9_3,Q76_9_4,Q76_9_5,Q76_9_6,Q76_9_7,Q76_9_8,Q76_9_9,Q76_9_10,Q76_9_11,Q76_9_12,gov_approval,Q64_1,Q64_2,Q64_3,Q64_4,Q64_8,Q22,id,eqtid
2023/2/17 19:14,2023/2/17 19:16,0,219.52.119.65,100,154,1,2023/2/17 19:16,R_33y9SjJqQCSpbsJ,,,,,35.5381,139.4479,anonymous,JA,5,4,4,4,4,4,2,2,2,0,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,6,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,i9bMW1IlluOH,ed4a3e25064ec07d1fcf2f596432be9e6edb35bc
2023/2/17 19:17,2023/2/17 19:19,0,113.156.123.19,100,97,1,2023/2/17 19:19,R_ABrppOOWyLdlUIN,,,,,35.6517,139.3221,anonymous,JA,0,4,6,4,4,3,5,5,1,0,4,3,3,3,3,3,5,4,3,4,4,4,4,5,4,3,4,,,,,,,,,,,,,5,3,4,2,7,1,6,6,1,4,8,7,5,2,3,4,6,4,2,3,1,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,1,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,特になし,MfxgL8EdduuT,ed4a3e25064ec07d1fcf2f596432be9e6edb35bc
2023/2/17 19:15,2023/2/17 19:20,0,114.151.207.156,100,297,1,2023/2/17 19:20,R_2WUU2BBtbaqXyXt,,,,,34.668,135.8026,anonymous,JA,0,2,1,3,5,1,4,3,4,1,2,4,3,3,4,3,4,2,3,3,4,2,3,2,4,3,4,,,,,,,,,,,,,3,4,7,6,1,5,2,5,7,3,1,6,8,2,4,1,1,6,2,4,5,3,,,,,1,,,,,,,,1,1,1,,,,,,,,,,,1,,1,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,1,1,,,,1,,,,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,,,1,,1,,,,,,1,,,,,,,,,1,,,,,,1,,,,1,,1,,1,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,1,1,,,1,,1,,,,,,,,,,4,,,,,1,ワクチンの精度をもう少し見てから動きたいと考えています。,H1XNEeEl0DxU,ed4a3e25064ec07d1fcf2f596432be9e6edb35bc
2023/2/17 19:18,2023/2/17 19:20,0,126.166.149.174,100,136,1,2023/2/17 19:20,R_2dThWuYRX1Ccndd,,,,,35.6897,139.6895,anonymous,JA,4,4,4,4,3,3,2,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,,,,,,,,,,,,5,7,3,1,6,2,4,3,7,6,5,8,2,4,1,1,1,4,2,5,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,sOsOVjGbn8x6,ed4a3e25064ec07d1fcf2f596432be9e6edb35bc
2023/2/17 19:15,2023/2/17 19:21,0,202.240.72.242,100,362,1,2023/2/17 19:21,R_3sizdPypevXYTAi,,,,,35.4643,139.6262,anonymous,JA,3,5,2,4,4,4,2,3,3,0,1,2,3,4,3,1,1,2,2,1,1,3,4,3,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,5,4,6,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,4,,1,,,,,7PHZOyVr9nhy,ed4a3e25064ec07d1fcf2f596432be9e6edb35bc
2023/2/17 19:18,2023/2/17 19:21,0,126.200.221.124,100,172,1,2023/2/17 19:21,R_3Oq1IGqpFv5D01C,,,,,35.7188,140.0361,anonymous,JA,0,5,3,1,7,6,5,5,5,0,3,1,3,4,5,3,1,1,1,4,1,5,5,5,5,5,4,,,,,,,,,,,,,3,4,5,6,2,1,7,2,1,5,6,7,4,8,3,2,1,4,3,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,f4Fpsq04NF6s,ed4a3e25064ec07d1fcf2f596432be9e6edb35bc
2023/2/17 19:17,2023/2/17 19:21,0,60.145.158.152,100,269,1,2023/2/17 19:21,R_6DnpqQJg9qpVYIx,,,,,34.709,135.5189,anonymous,JA,2,5,4,3,4,4,4,3,3,0,2,3,3,3,4,3,3,3,3,2,3,4,3,4,3,4,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,2,3,5,4,6,,,1,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,S7ouNpubAfSN,ed4a3e25064ec07d1fcf2f596432be9e6edb35bc
2023/2/17 19:15,2023/2/17 19:22,0,182.170.166.234,100,392,1,2023/2/17 19:22,R_3fv10l5wzyf3NYQ,,,,,35.4643,139.6262,anonymous,JA,0,4,1,1,4,1,2,2,2,0,4,3,3,3,4,3,2,2,2,2,2,4,4,4,4,4,4,,,,,,,,,,,,,5,2,3,1,4,6,7,4,3,2,1,7,5,6,8,1,2,3,5,4,6,1,,,,,,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,,1,,,,,51aeKd5ShRIm,ed4a3e25064ec07d1fcf2f596432be9e6edb35bc
2023/2/17 19:20,2023/2/17 19:22,0,125.198.119.109,100,127,1,2023/2/17 19:22,R_1la6goAJ7iEcN1h,,,,,35.6887,139.745,anonymous,JA,3,4,5,4,3,5,2,2,2,0,3,4,2,3,3,4,4,3,3,4,3,3,2,4,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,4,,,,,1,,5cLcNlyqC1uW,ed4a3e25064ec07d1fcf2f596432be9e6edb35bc
2023/2/17 19:17,2023/2/17 19:22,0,217.178.90.226,100,327,1,2023/2/17 19:22,R_2ZIhEEM3Lef9iuR,,,,,34.6947,135.5,anonymous,JA,4,4,6,6,7,5,1,3,1,0,1,2,5,3,1,1,3,3,3,3,3,3,3,3,3,3,4,,,,,,,,,,,,,6,2,3,4,1,7,5,6,5,4,1,3,2,8,7,2,6,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,H3FBQwehlHTO,ed4a3e25064ec07d1fcf2f596432be9e6edb35bc
