"berlin_correct_count","mean_subjective_numeracy","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.14,0.04,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,0.13,0.75,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.12,0.68,0.52,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.07,0.03,0.64,0.63,0.54,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.19,-0.1,0.28,0.52,-0.28,0.41,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.12,0.21,0.71,0.49,0.82,0.2,0.51,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,0.09,0.77,0.69,0.41,0.64,0.23,0.28,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.11,0.08,0.56,0.72,0.49,0.18,0.61,0.04,0.48,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.26,-0.15,0.21,0.57,-0.22,0.33,0,0.77,-0.27,0.27,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.09,0.08,0.85,0.95,0.56,0.51,0.5,0.31,0.62,0.76,0.76,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.06,0.07,0.94,0.86,0.64,0.73,0.67,0.45,0.5,0.62,0.53,0.34,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.16,0.89,0.61,0.84,0.76,0.44,0.04,0.67,0.64,0.43,0.04,0.66,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.19,-0.05,0.63,0.8,0.15,0.39,0.68,0.75,0.11,0.35,0.43,0.56,0.56,0.78,0.32,NA,NA,NA,NA,NA,NA,NA,NA
0.1,0.18,0.87,0.68,0.74,0.47,0.44,-0.05,0.88,0.83,0.47,-0.03,0.8,0.65,0.76,0.26,NA,NA,NA,NA,NA,NA,NA
-0.25,-0.06,0.48,0.82,0.13,0.34,0.35,0.56,0.09,0.37,0.73,0.82,0.78,0.55,0.28,0.65,0.26,NA,NA,NA,NA,NA,NA
0.24,0.11,0.03,-0.02,0.05,0.09,0.01,-0.01,0.01,-0.04,0,-0.05,-0.03,0.06,0.08,0,-0.02,-0.03,NA,NA,NA,NA,NA
0.33,0.3,0.16,0.02,0.23,0.13,-0.04,-0.13,0.22,0.16,0.03,-0.15,0.09,0.09,0.23,-0.12,0.22,-0.09,0.09,NA,NA,NA,NA
0.07,-0.05,0.16,-0.02,0.38,-0.06,0.22,-0.34,0.31,0.05,0.02,-0.3,0.03,0.09,0.22,-0.1,0.23,-0.2,-0.05,0.19,NA,NA,NA
0.14,0.09,0.38,0.19,0.6,0.05,0.43,-0.43,0.61,0.14,0.33,-0.32,0.28,0.27,0.43,-0.03,0.46,-0.02,0.05,0.24,0.43,NA,NA
-0.23,-0.08,-0.21,-0.03,-0.46,0.1,-0.27,0.47,-0.52,-0.06,-0.19,0.4,-0.13,-0.08,-0.26,0.17,-0.36,0.17,-0.08,-0.13,-0.43,-0.65,NA
