"StartDate.x","EndDate.x","Status.x","IPAddress.x","Progress.x","Duration..in.seconds..x","Finished.x","RecordedDate.x","ResponseId.x","RecipientLastName.x","RecipientFirstName.x","RecipientEmail.x","ExternalReference.x","LocationLatitude.x","LocationLongitude.x","DistributionChannel.x","UserLanguage.x","Q34","Q57_1","Q47","Q33_1","Q33_2","Q33_3","Q33_4","Q33_5","Q33_6","Q33_7","Q33_8","Q33_9","Q33_10","Q33_11","Q35","Q16_1","Q39_1","Q40_1","Q41_1","Q42_1","Q53","Q56","Q55","Q54","Q21","Q18","Q22.x","Q43_1","Q19","Q20","Q36","Q28_1","Q28_2","Q28_3","Q28_4","Q28_5","Q28_6","Q28_7","Q28_8","Q28_9","Q28_10","Q51_1","Q59_1","Q52_1","Q60_1","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q15_8","Q15_9","Q15_10","Q58_1","Q58_2","Q58_3","Q58_4","Q58_5","Q58_6","Q58_7","Q58_8","Q58_9","Q61_1","Q50","Q46_1","Q29","Q27","id","eqtid.x","berlin_correct_count","berlin_group.x","StartDate.y","EndDate.y","Status.y","IPAddress.y","Progress.y","Duration..in.seconds..y","Finished.y","RecordedDate.y","ResponseId.y","RecipientLastName.y","RecipientFirstName.y","RecipientEmail.y","ExternalReference.y","LocationLatitude.y","LocationLongitude.y","DistributionChannel.y","UserLanguage.y","num_vaccination_3","Q2","Q3","Effectiveness_3","Omicron_3","Safeness_3","Possibility_of_infec_3","Regret_3","Attitude_1_1","Attitude_2_1","Benefit_1_1","Benefit_2_1","Risk_1_1","Risk_2_1","Q9","Q10","Q11","Q12","Q13","Info_Info_1","Info_Info_2","Info_Info_3","Info_Info_4","Info_Info_5","Info_Info_6","Info_Info_7","Info_Info_8","Info_Info_9","Info_Info_10","Info_Info_11","Info_Info_12","Info_Cred_1","Info_Cred_2","Info_Cred_3","Info_Cred_4","Info_Cred_5","Info_Cred_6","Info_Cred_7","Info_Cred_8","Info_Cred_9","Info_Cred_10","Info_Cred_11","Info_Cred_12","Info_Cred_13","H_Num1","H_Num2","H_Num3","H_Num4","H_Num5","Q22.y","eqtid.y","health_correct_count","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","averageNumerical","averageNonNumerical","HBM_average_benefit_3","HBM_average_risk_3","Acceptance_1_reversed","Acceptance_2_reversed","HBM_average_acceptance_3","no","group","firstParti","sndParti","gender","age","residentArea","maritalStatus","children","occupation","education","covidInfecRecord","vaccRecord1stSurvey","vaccReservation","device","start_time","end_time","time","berlin_group.y","berlin_oneItem","subjectiveNumeracy_group","numAttitude_group"
"2021/8/26 23:03","2021/8/26 23:20",0,"126.119.59.108",100,1040,1,"2021/8/26 23:20","R_27rmLOgIXbkFPYn",NA,NA,NA,NA,34.69219971,135.1816101,"anonymous","JA",2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,5,5,7,3,2,1,3,4,2,2,2,1,NA,NA,2,5,2,5,2,2,2,5,2,5,7,7,7,8,2,5,2,2,1,2,2,2,2,5,2,5,5,5,2,5,2,5,5,4,4,5,"60","確率の解答が知りたい","128hTBTSI1wy","07ec68e4080afd6b83525ee500ebda56b8a83e93",4,"BH","2022/11/2 0:14","2022/11/2 0:21",0,"126.28.126.62",100,364,1,"2022/11/2 0:21","R_2dECRmMEDuBgQCd",NA,NA,NA,NA,35.0885,134.7424,"anonymous","JA",3,0,0,4,3,3,5,2,1,2,2,4,4,4,3,2,2,3,5,3,3,5,6,2,5,2,2,5,3,5,3,3,3,5,5,4,5,1,2,5,5,3,3,5,4,2,3,2,2,"","fe7495ade47184a0c00172174b0db134d5040a8a",5,3.66666666666667,4.33333333333333,3,3.66666666666667,3.66666666666667,4.66666666666667,4,3.66666666666667,3.76923076923077,3.66666666666667,4,3.33333333333333,4.16666666666667,3.83333333333333,4.08333333333333,3.58333333333333,3,4,5,4,4.5,444,9,1,1,2,42,28,2,1,12,5,2,3,1,4,"2021-08-26 22:59:36","2021-08-26 23:02:59",3,"BH",1,"L","L"
"2021/8/26 23:10","2021/8/26 23:23",0,"160.86.148.26",100,740,1,"2021/8/26 23:23","R_cSBZtDgLT8F8db3",NA,NA,NA,NA,34.68359375,135.8027954,"anonymous","JA",2,17,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,5,4,6,2,1,4,4,4,3,2,2,NA,1,NA,5,2,2,2,5,2,5,5,5,4,4,7,6,7,6,6,5,5,1,5,5,5,5,6,2,6,2,1,5,4,6,6,1,6,4,6,"30","","12oOI05MUcRn","07ec68e4080afd6b83525ee500ebda56b8a83e93",0,"BL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,15,NA,1,1,41,29,1,2,1,6,2,3,2,4,"2021-08-26 23:06:54","2021-08-26 23:10:49",4,"BL",0,"H","L"
"2021/8/29 19:51","2021/8/29 19:59",0,"101.143.69.201",100,473,1,"2021/8/29 19:59","R_1JLzOtvmvubrQ96",NA,NA,NA,NA,34.68859863,135.1958923,"anonymous","JA",2,14,4,2,2,1,5,3,2,1,3,4,3,2,6,1,5,1,9,1,3,3,3,3,4,2,4,6,NA,NA,1,4,2,4,2,3,4,5,2,5,2,5,4,8,9,3,3,2,2,1,4,2,2,5,4,4,4,2,1,3,2,4,5,5,6,4,5,"50","ない","17fOZlo7RAOi","a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d",2,"BH","2022/11/1 11:03","2022/11/1 11:10",0,"101.143.66.4",100,439,1,"2022/11/1 11:10","R_32JTRf8mRI1Tn6O",NA,NA,NA,NA,34.6886,135.1959,"anonymous","JA",3,0,1,2,2,2,4,2,3,4,1,2,5,5,4,3,3,3,6,2,2,2,5,6,2,2,4,2,6,5,6,2,2,5,1,6,5,1,2,2,1,4,2,4,4,2,3,1,3,"なにがいいたいのかな？って思いました。","fe7495ade47184a0c00172174b0db134d5040a8a",3,2,4.33333333333333,2.66666666666667,5.66666666666667,3,4,1.66666666666667,3.33333333333333,2.84615384615385,3.66666666666667,3.16666666666667,4.16666666666667,3.5,2.5,3.33333333333333,3.33333333333333,1.5,5,3,2,2.5,13621,11,NA,NA,2,64,28,2,2,7,6,2,3,1,2,"2021-08-29 19:50:15","2021-08-29 19:51:29",1,"BH",0,"H","H"
"2021/8/29 8:19","2021/8/29 8:27",0,"122.131.252.103",100,491,1,"2021/8/29 8:27","R_3nfnlH7zkwuvWV8",NA,NA,NA,NA,36.63330078,138.1789856,"anonymous","JA",2,17,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,5,4,6,3,2,1,3,4,2,3,7,NA,NA,1,4,4,4,4,3,4,4,2,4,3,7,8,6,6,5,5,4,4,1,2,3,4,4,5,4,5,5,5,2,3,4,4,5,5,4,5,"60","","1FN7SXlJV7og","a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d",4,"BH","2022/11/1 11:19","2022/11/1 11:25",0,"119.241.14.64",100,408,1,"2022/11/1 11:25","R_2YmITgAl4KPrrfl",NA,NA,NA,NA,36.6352,138.1794,"anonymous","JA",3,0,0,4,2,4,4,5,2,2,3,4,2,2,3,3,3,3,5,6,6,6,5,5,4,4,4,3,3,4,3,4,5,4,4,4,4,1,3,4,5,3,4,3,4,2,3,2,2,"","fe7495ade47184a0c00172174b0db134d5040a8a",5,6,4.66666666666667,3.66666666666667,3.33333333333333,4.33333333333333,4,4,3.33333333333333,3.69230769230769,4.41666666666667,5.33333333333333,3.5,4.16666666666667,3.66666666666667,4.75,3.58333333333333,3.5,2,4,4,4,5742,4,NA,NA,1,58,20,2,1,10,6,2,3,1,4,"2021-08-29 8:18:51","2021-08-29 8:19:35",1,"BH",0,"H","L"
"2021/8/28 19:46","2021/8/28 20:08",0,"106.181.128.227",100,1287,1,"2021/8/28 20:08","R_2pXM6kyv3od7reY",NA,NA,NA,NA,35.64680481,139.6546021,"anonymous","JA",2,18,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,5,4,7,3,2,1,3,4,2,3,6,NA,NA,1,2,2,4,4,2,5,5,2,4,5,7,7,7,7,4,5,5,5,1,3,3,4,4,5,4,5,5,5,2,2,4,4,5,5,4,5,"80","","1RWbB731oZ06","07ec68e4080afd6b83525ee500ebda56b8a83e93",4,"BH","2022/11/1 21:56","2022/11/1 22:03",0,"106.181.127.208",100,407,1,"2022/11/1 22:03","R_e4FY0ICZTjff5S1",NA,NA,NA,NA,36.4298,139.0693,"anonymous","JA",3,0,0,5,4,5,4,4,2,2,3,3,4,2,3,3,3,2,5,5,5,5,4,4,4,4,4,1,4,3,3,4,4,4,4,4,4,1,4,4,4,3,3,3,4,2,3,2,4,"","fe7495ade47184a0c00172174b0db134d5040a8a",4,5,4,3,3.33333333333333,4,4,4,3,3.53846153846154,3.83333333333333,4.5,3.16666666666667,4,3.5,4.25,3.33333333333333,3,3,4,4,4,831,2,NA,1,1,38,20,1,2,4,6,2,3,1,4,"2021-08-28 19:43:13","2021-08-28 19:46:40",3,"BH",NA,NA,"H"
"2021/8/29 22:52","2021/8/29 22:58",0,"222.15.42.218",100,372,1,"2021/8/29 22:58","R_SDAwGzhyxxMBCoh",NA,NA,NA,NA,36.65960693,139.8226013,"anonymous","JA",2,17,4,3,3,3,3,2,3,3,4,4,3,2,5,8,5,5,8,5,3,2,2,3,3,3,2,4,NA,1,NA,5,1,3,1,5,2,5,4,2,3,6,6,5,8,4,4,4,4,1,3,2,5,4,6,3,5,6,3,2,3,4,5,6,4,4,6,"80","","1X6HC3SgBHu9","a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d",3,"BH","2022/11/3 0:04","2022/11/3 0:09",0,"222.15.42.218",100,310,1,"2022/11/3 0:09","R_1LzGMiDnZkNZ5xk",NA,NA,NA,NA,36.5666,139.9125,"anonymous","JA",2,1,1,2,1,1,6,1,4,4,1,2,4,4,4,3,3,4,2,2,3,2,5,3,2,2,2,2,2,4,1,3,4,2,2,2,5,1,2,2,2,4,4,2,4,2,2,2,3,"","fe7495ade47184a0c00172174b0db134d5040a8a",3,2.33333333333333,3.33333333333333,2,2.33333333333333,3,3,2,3.33333333333333,2.69230769230769,2.5,2.83333333333333,2.16666666666667,3,2.66666666666667,2.91666666666667,2.41666666666667,1.5,4,2,2,2,15537,6,NA,NA,1,71,9,3,1,14,6,2,3,1,1,"2021-08-29 22:51:21","2021-08-29 22:52:36",1,"BH",1,"L","H"
"2021/8/26 16:48","2021/8/26 17:00",0,"1.79.82.122",100,713,1,"2021/8/26 17:00","R_1dbnCLuKdwOaXwE",NA,NA,NA,NA,43.06469727,141.3489075,"anonymous","JA",2,17,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,3,1,6,4,4,4,4,5,5,5,1,NA,NA,1,1,1,1,1,1,4,4,5,4,6,8,8,1,6,1,4,6,6,1,4,4,4,5,5,4,4,6,6,1,1,1,5,4,6,5,5,"40","","1Z1nsYMaZnyI","07ec68e4080afd6b83525ee500ebda56b8a83e93",0,"BL","2022/11/1 16:21","2022/11/1 16:34",0,"1.75.235.97",100,799,1,"2022/11/1 16:34","R_3KN5JwJvewwpRv8",NA,NA,NA,NA,35.6897,139.6895,"anonymous","JA",3,0,0,5,5,6,3,5,1,1,4,4,4,1,1,3,2,3,5,7,6,6,4,4,5,4,4,1,4,4,2,6,6,2,5,4,5,1,4,5,5,4,4,4,4,2,3,1,3,"","fe7495ade47184a0c00172174b0db134d5040a8a",3,6.33333333333333,4.33333333333333,3,3.33333333333333,4.66666666666667,4.66666666666667,4.66666666666667,4,4.23076923076923,4.25,5.33333333333333,3.16666666666667,4.66666666666667,4.33333333333333,5,3.75,4,2.5,5,5,5,72,22,1,1,2,56,1,1,2,14,4,2,3,2,1,"2021-08-26 16:46:25","2021-08-26 16:48:45",2,"BL",1,"L","L"
"2021/8/26 16:41","2021/8/26 16:50",0,"119.240.38.44",100,529,1,"2021/8/26 16:50","R_2trojUXnmYNBDjl",NA,NA,NA,NA,36.56900024,139.885498,"anonymous","JA",2,17,4,3,3,5,3,3,3,4,3,5,4,3,3,9,4,4,6,6,3,3,1,2,4,3,4,1,NA,NA,1,1,1,1,4,1,4,4,4,4,1,6,6,6,6,4,4,1,1,1,1,1,2,3,4,1,1,1,1,1,1,1,3,1,5,6,4,"50","","1lz14PYCPQL8","07ec68e4080afd6b83525ee500ebda56b8a83e93",2,"BH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,14,NA,1,1,35,9,1,2,8,2,2,3,2,5,"2021-08-26 16:40:50","2021-08-26 16:41:21",1,"BH",1,"L","L"
"2021/8/28 17:12","2021/8/28 17:20",0,"59.168.179.245",100,500,1,"2021/8/28 17:20","R_2qfnNwkPUI9DlfP",NA,NA,NA,NA,35.74000549,139.6037903,"anonymous","JA",2,17,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,5,1,6,4,4,4,4,2,4,3,1,NA,2,NA,1,1,5,5,2,5,6,5,5,5,5,6,6,6,4,4,2,2,1,2,2,2,6,5,4,4,4,1,1,1,1,6,5,6,5,5,"20","テレビで人を煽るのを止めてほしい。新聞社とテレビと政府、自分たちの欲望の為だけに動いているようにしか思えない。","1rUe7dH9YMSP","a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d",0,"BL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2263,11,NA,NA,2,60,13,3,1,11,6,2,3,1,4,"2021-08-28 17:11:52","2021-08-28 17:12:32",1,"BL",0,"L","L"
"2021/8/28 10:57","2021/8/28 11:02",0,"60.112.89.119",100,320,1,"2021/8/28 11:02","R_2aQt9dqReXskaD6",NA,NA,NA,NA,35.38999939,140.1282043,"anonymous","JA",2,20,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,6,1,7,3,2,2,2,4,2,3,4,NA,NA,1,4,1,2,3,2,2,4,4,6,5,8,7,8,9,6,5,5,6,1,2,2,3,5,6,6,7,4,4,1,2,2,5,6,8,4,6,"40","特になし","20Z8YFjODUlG","a50b6090c02f05f170a04ce5e3fa5d8ef6cf802d",2,"BH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1317,19,NA,NA,2,25,12,1,2,1,6,2,3,2,4,"2021-08-28 10:48:33","2021-08-28 10:56:49",8,"BH",1,"H",NA
