,berlin_correct_count,mean_subjective_numeracy,mean_cliticalThinking_attitude,averageNumerical,averageNonNumerical,Effectiveness_3,Omicron_3,Safeness_3,Possibility_of_infec_3,Regret_3,health_correct_count,HBM_average_benefit_3,HBM_average_risk_3,numAttitude_average,HBM_average_acceptance_4,HBM_average_benefit_4,HBM_average_risk_4,num_vaccination_4,num_vaccination_3
berlin_correct_count,,,,,,,,,,,,,,,,,,,
mean_subjective_numeracy,0.2,,,,,,,,,,,,,,,,,,
mean_cliticalThinking_attitude,0.07,0.37,,,,,,,,,,,,,,,,,
averageNumerical,0.14,0.22,0.14,,,,,,,,,,,,,,,,
averageNonNumerical,-0.18,-0.02,0.01,0.41,,,,,,,,,,,,,,,
Effectiveness_3,0.13,0.13,-0.01,0.47,-0.08,,,,,,,,,,,,,,
Omicron_3,0.1,0.07,0.03,0.44,-0.04,0.72,,,,,,,,,,,,,
Safeness_3,0.12,0.01,-0.1,0.33,-0.06,0.62,0.64,,,,,,,,,,,,
Possibility_of_infec_3,-0.02,-0.1,0,0.12,-0.04,0.35,0.31,0.28,,,,,,,,,,,
Regret_3,0.04,0,-0.04,0.39,-0.07,0.69,0.78,0.61,0.38,,,,,,,,,,
health_correct_count,0.27,0.11,0.05,0.06,-0.04,0.02,0.04,0.03,0.02,0,,,,,,,,,
HBM_average_benefit_3,0.12,0.07,-0.07,0.51,-0.01,0.83,0.72,0.69,0.36,0.7,0.08,,,,,,,,
HBM_average_risk_3,-0.13,-0.08,0.15,-0.27,0.22,-0.59,-0.6,-0.47,-0.14,-0.54,-0.07,-0.6,,,,,,,
numAttitude_average,0.3,0.33,0.36,0.3,-0.04,0.18,0.15,0.13,0.09,0.17,0.12,0.17,-0.02,,,,,,
HBM_average_acceptance_4,0.05,-0.07,0,0.2,-0.16,0.41,0.46,0.34,0.24,0.54,-0.04,0.44,-0.39,0.13,,,,,
HBM_average_benefit_4,0.17,0.09,-0.03,0.47,0,0.69,0.64,0.51,0.17,0.6,0.07,0.71,-0.57,0.22,0.43,,,,
HBM_average_risk_4,-0.2,-0.04,0.06,-0.29,0.17,-0.55,-0.57,-0.49,-0.12,-0.53,-0.05,-0.58,0.73,-0.09,-0.47,-0.63,,,
num_vaccination_4,0.15,0,-0.02,0.37,-0.03,0.57,0.73,0.53,0.3,0.68,0.06,0.62,-0.46,0.15,0.47,0.54,-0.48,,
num_vaccination_3,0.12,-0.02,-0.03,0.35,-0.02,0.55,0.7,0.51,0.29,0.65,0.05,0.6,-0.45,0.12,0.44,0.5,-0.46,0.97,
