"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk","Q1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.05,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.18,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.16,0.12,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04,0.14,0.14,0.72,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,0.15,-0.06,0.66,0.55,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.09,0.14,0.03,0.64,0.57,0.63,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.06,-0.04,-0.04,0.3,0.49,-0.32,0.52,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.09,0.2,0.12,0.67,0.52,0.83,0.09,0.57,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.09,0.14,0.76,0.77,0.3,0.62,0.21,0.43,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.16,0.22,0.11,0.61,0.66,0.66,0.17,0.57,-0.1,0.67,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.08,-0.02,0.06,0.28,0.57,-0.18,0.43,-0.1,0.74,-0.24,0.45,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.09,0.18,0.16,0.87,0.95,0.59,0.5,0.46,0.28,0.65,0.78,0.74,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.03,0.16,0.04,0.95,0.86,0.62,0.73,0.64,0.46,0.47,0.64,0.53,0.37,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04,0.18,0.06,0.89,0.68,0.82,0.73,0.49,0.08,0.63,0.57,0.56,0.13,0.71,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,0.07,-0.01,0.68,0.78,0.17,0.48,0.6,0.74,0.1,0.49,0.3,0.52,0.54,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,0.18,0.16,0.87,0.78,0.71,0.41,0.49,0.01,0.84,0.79,0.6,0.1,0.87,0.67,0.74,0.35,NA,NA,NA,NA,NA,NA,NA,NA
0.04,0.11,0.11,0.58,0.83,0.26,0.43,0.26,0.49,0.22,0.51,0.66,0.8,0.82,0.6,0.44,0.58,0.44,NA,NA,NA,NA,NA,NA,NA
0.13,0.03,-0.15,0.02,-0.07,0.05,0.11,0.04,-0.02,-0.03,-0.09,-0.03,-0.11,-0.1,0.07,0.1,0.01,-0.07,-0.1,NA,NA,NA,NA,NA,NA
0.23,0.17,0.03,0.24,0.2,0.26,0.12,0.11,-0.11,0.29,0.22,0.26,-0.02,0.28,0.16,0.25,-0.01,0.32,0.14,0,NA,NA,NA,NA,NA
0.02,-0.12,-0.01,0.13,-0.04,0.42,-0.1,0.28,-0.43,0.33,-0.01,0.13,-0.35,0.03,0.06,0.23,-0.16,0.21,-0.18,-0.01,0.13,NA,NA,NA,NA
0.2,0.07,0.08,0.36,0.19,0.65,-0.04,0.46,-0.48,0.67,0.07,0.39,-0.34,0.29,0.23,0.43,-0.08,0.48,-0.02,0.1,0.26,0.44,NA,NA,NA
-0.08,0,-0.1,-0.09,0.07,-0.44,0.25,-0.27,0.51,-0.46,0.12,-0.19,0.44,-0.02,0.02,-0.16,0.23,-0.23,0.22,-0.09,-0.1,-0.52,-0.59,NA,NA
0.12,0,0.07,0.25,0.14,0.53,-0.17,0.42,-0.44,0.54,0.04,0.39,-0.35,0.22,0.14,0.27,-0.07,0.38,-0.03,0.09,0.23,0.46,0.59,-0.52,NA
