"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk","Q1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.15,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.05,-0.06,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.14,0.06,0.81,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.18,-0.05,0.79,0.59,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.06,0.01,0.67,0.68,0.57,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.03,-0.1,0.39,0.56,-0.05,0.46,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.21,-0.01,0.79,0.6,0.79,0.45,0.49,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.1,-0.11,0.85,0.77,0.59,0.68,0.41,0.24,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.04,-0.02,0.57,0.79,0.44,0.24,0.69,0.18,0.45,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.06,-0.03,0.29,0.63,-0.12,0.3,0.09,0.76,-0.07,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.07,-0.05,0.84,0.96,0.58,0.56,0.58,0.37,0.71,0.84,0.8,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.11,-0.03,0.95,0.84,0.74,0.81,0.7,0.56,0.58,0.69,0.54,0.37,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.18,0.01,0.92,0.65,0.89,0.85,0.5,0.22,0.73,0.73,0.4,0.09,0.65,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.02,-0.06,0.68,0.81,0.31,0.5,0.71,0.81,0.22,0.41,0.54,0.6,0.61,0.82,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.18,-0.06,0.88,0.73,0.75,0.59,0.49,0.05,0.95,0.92,0.5,0.1,0.83,0.68,0.78,0.33,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.06,-0.03,0.51,0.85,0.19,0.33,0.47,0.57,0.22,0.47,0.83,0.84,0.82,0.54,0.29,0.68,0.36,NA,NA,NA,NA,NA,NA,NA
NA,0.02,0.18,0,0.05,-0.08,0.11,-0.04,0.19,-0.13,-0.08,0.01,0.22,0.01,0.07,0.01,0.11,-0.11,0.14,NA,NA,NA,NA,NA,NA
NA,0.37,-0.2,0.34,0.18,0.32,0.41,0.01,0.19,0.22,0.29,0.01,0.02,0.18,0.34,0.41,0.14,0.27,0.02,-0.05,NA,NA,NA,NA,NA
NA,-0.02,0.05,0.25,0.07,0.42,0,0.3,-0.21,0.39,0.16,0,-0.31,0.08,0.18,0.26,0.03,0.3,-0.19,-0.23,0.17,NA,NA,NA,NA
NA,0.03,0.09,0.45,0.29,0.55,0.26,0.45,-0.14,0.49,0.29,0.34,-0.2,0.31,0.4,0.48,0.17,0.43,0.08,-0.09,0.28,0.43,NA,NA,NA
NA,-0.01,-0.19,-0.32,-0.19,-0.47,-0.1,-0.37,0.31,-0.53,-0.22,-0.31,0.27,-0.27,-0.22,-0.34,0,-0.42,-0.02,0.11,-0.02,-0.42,-0.62,NA,NA
NA,-0.09,-0.05,0.34,0.15,0.41,0.16,0.42,-0.21,0.43,0.21,0.07,-0.25,0.15,0.28,0.34,0.11,0.36,-0.11,-0.2,0.09,0.55,0.46,-0.4,NA
