"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk","Q1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.16,0.02,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,0.13,NA,0.72,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.18,NA,0.63,0.37,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.11,-0.06,NA,0.57,0.58,0.44,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.17,-0.09,NA,0.31,0.5,-0.24,0.4,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,0.19,NA,0.67,0.51,0.78,0.07,0.4,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,0.14,NA,0.7,0.63,0.26,0.56,0.07,0.28,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.08,0.04,NA,0.49,0.69,0.47,-0.01,0.53,-0.05,0.58,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.3,-0.15,NA,0.17,0.55,-0.24,0.22,-0.04,0.69,-0.25,0.3,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.1,0.08,NA,0.78,0.93,0.49,0.32,0.37,0.24,0.66,0.71,0.75,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.08,0.07,NA,0.92,0.77,0.61,0.68,0.64,0.5,0.4,0.48,0.39,0.25,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06,0.19,NA,0.86,0.51,0.82,0.75,0.33,0.07,0.57,0.51,0.32,-0.03,0.52,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.2,-0.1,NA,0.59,0.72,0.11,0.32,0.71,0.77,0.03,0.24,0.31,0.46,0.41,0.77,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.09,0.2,NA,0.82,0.68,0.65,0.36,0.3,-0.06,0.86,0.8,0.49,0,0.82,0.53,0.66,0.15,NA,NA,NA,NA,NA,NA,NA,NA
-0.26,-0.08,NA,0.42,0.81,0.13,0.15,0.3,0.45,0.18,0.33,0.72,0.79,0.79,0.42,0.17,0.52,0.3,NA,NA,NA,NA,NA,NA,NA
0.29,0.18,NA,-0.03,-0.21,-0.02,0.21,-0.06,-0.04,-0.09,-0.08,-0.2,-0.23,-0.24,0.04,0.11,-0.06,-0.11,-0.28,NA,NA,NA,NA,NA,NA
0.34,0.43,NA,0.31,0.14,0.28,0.23,-0.06,-0.03,0.33,0.34,0.07,-0.15,0.22,0.18,0.33,-0.06,0.4,-0.07,0.12,NA,NA,NA,NA,NA
0.08,-0.15,NA,0.17,0.01,0.38,-0.06,0.24,-0.28,0.26,0.02,0.02,-0.21,0.03,0.12,0.23,-0.04,0.18,-0.13,-0.04,0.15,NA,NA,NA,NA
0.09,0.06,NA,0.37,0.17,0.63,0.02,0.38,-0.37,0.55,0.05,0.34,-0.33,0.24,0.28,0.44,-0.02,0.39,-0.02,-0.04,0.18,0.48,NA,NA,NA
-0.14,0.02,NA,-0.2,-0.11,-0.44,0.13,-0.29,0.44,-0.49,-0.01,-0.34,0.28,-0.21,-0.08,-0.23,0.12,-0.32,-0.01,0.06,-0.12,-0.47,-0.67,NA,NA
0.11,0.05,NA,0.28,0.12,0.44,-0.02,0.32,-0.3,0.43,0.09,0.19,-0.28,0.16,0.18,0.28,-0.01,0.33,-0.08,0.02,0.24,0.59,0.55,-0.46,NA
