"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk","Q1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.11,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,0.13,NA,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.17,NA,0.78,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.02,0.15,NA,0.75,0.66,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.11,NA,0.69,0.65,0.67,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.19,-0.03,NA,0.33,0.53,-0.22,0.52,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.23,0.24,NA,0.76,0.57,0.84,0.32,0.6,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.13,0.14,NA,0.84,0.8,0.5,0.68,0.37,0.36,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,0.12,NA,0.66,0.76,0.6,0.37,0.69,0.1,0.52,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.19,-0.06,NA,0.31,0.61,-0.14,0.45,0.04,0.78,-0.17,0.36,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06,0.15,NA,0.9,0.97,0.63,0.64,0.59,0.37,0.68,0.84,0.79,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.03,0.15,NA,0.96,0.9,0.69,0.8,0.69,0.48,0.58,0.72,0.66,0.43,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.12,0.19,NA,0.92,0.73,0.86,0.79,0.57,0.15,0.73,0.7,0.6,0.16,0.77,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.1,0.05,NA,0.71,0.85,0.28,0.56,0.63,0.75,0.22,0.53,0.53,0.63,0.68,0.83,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.21,0.22,NA,0.9,0.76,0.77,0.55,0.56,0.05,0.9,0.87,0.55,0.09,0.85,0.73,0.81,0.41,NA,NA,NA,NA,NA,NA,NA,NA
-0.13,0.03,NA,0.59,0.85,0.25,0.51,0.42,0.58,0.19,0.51,0.76,0.83,0.81,0.67,0.45,0.73,0.38,NA,NA,NA,NA,NA,NA,NA
0.26,0.07,NA,0.1,0.1,0.11,0.06,0.07,0.01,0.1,0.05,0.14,0.03,0.11,0.09,0.11,0.05,0.08,0.1,NA,NA,NA,NA,NA,NA
0.27,0.25,NA,0.17,0.08,0.21,0.18,0.04,-0.05,0.17,0.16,0.05,-0.05,0.12,0.15,0.24,-0.01,0.19,0,0.12,NA,NA,NA,NA,NA
0.03,-0.01,NA,0.11,-0.06,0.35,-0.09,0.24,-0.38,0.3,0,0.07,-0.39,-0.01,0.05,0.18,-0.13,0.18,-0.22,-0.04,0.11,NA,NA,NA,NA
0.23,0.11,NA,0.39,0.23,0.6,0.09,0.5,-0.4,0.62,0.2,0.36,-0.29,0.31,0.29,0.44,0.02,0.48,0.01,0.15,0.25,0.39,NA,NA,NA
-0.23,-0.08,NA,-0.16,0.04,-0.47,0.13,-0.32,0.5,-0.47,0,-0.13,0.49,-0.04,-0.05,-0.23,0.18,-0.29,0.25,-0.15,-0.06,-0.46,-0.6,NA,NA
0.18,-0.04,NA,0.32,0.17,0.53,-0.03,0.44,-0.35,0.54,0.15,0.31,-0.34,0.23,0.22,0.33,0.02,0.41,-0.05,0.09,0.08,0.38,0.53,-0.5,NA
