"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk","Q1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,0.28,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.13,0.19,0.1,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,0.15,0.18,0.77,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,0.3,0.01,0.65,0.49,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.11,-0.03,0.01,0.65,0.63,0.56,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.12,0.09,-0.05,0.23,0.45,-0.28,0.42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.23,0.19,0.72,0.54,0.8,0.14,0.49,-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.36,0.16,0.77,0.69,0.46,0.55,0.21,0.17,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.11,0.05,0.1,0.63,0.79,0.54,0.19,0.63,0.07,0.51,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.24,0,-0.05,0.25,0.59,-0.16,0.36,0.02,0.76,-0.19,0.23,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.09,0.22,0.14,0.85,0.95,0.6,0.45,0.5,0.24,0.68,0.77,0.81,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.07,0.2,0.07,0.92,0.84,0.66,0.72,0.69,0.44,0.45,0.56,0.58,0.38,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,0.27,0.12,0.89,0.62,0.85,0.76,0.47,0.04,0.63,0.62,0.47,0.09,0.65,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.16,0.05,-0.03,0.6,0.76,0.18,0.4,0.68,0.73,0.08,0.27,0.48,0.57,0.51,0.79,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.08,0.33,0.2,0.84,0.69,0.74,0.38,0.41,-0.13,0.9,0.85,0.53,0,0.82,0.57,0.71,0.19,NA,NA,NA,NA,NA,NA,NA,NA
-0.22,0.03,0.03,0.54,0.85,0.22,0.35,0.39,0.53,0.18,0.39,0.79,0.82,0.8,0.59,0.34,0.65,0.32,NA,NA,NA,NA,NA,NA,NA
0.3,0.17,-0.05,-0.07,-0.13,-0.13,0.13,-0.07,0.07,-0.14,-0.12,-0.13,-0.09,-0.17,-0.01,-0.02,0.01,-0.15,-0.13,NA,NA,NA,NA,NA,NA
0.2,0.39,0.03,0.07,0.02,-0.01,0.11,-0.16,0.03,0.06,0.23,-0.05,-0.03,0.07,-0.01,0.06,-0.09,0.16,-0.05,0.1,NA,NA,NA,NA,NA
0,-0.04,0.07,0.18,-0.02,0.44,-0.05,0.28,-0.41,0.32,0.03,0.07,-0.33,0.03,0.12,0.27,-0.11,0.21,-0.17,-0.16,-0.01,NA,NA,NA,NA
0.02,-0.06,0.09,0.36,0.18,0.56,0.02,0.46,-0.41,0.54,0.11,0.31,-0.32,0.24,0.27,0.4,0.01,0.39,-0.02,-0.07,-0.04,0.45,NA,NA,NA
-0.17,-0.05,-0.21,-0.25,-0.08,-0.53,0.14,-0.32,0.53,-0.55,-0.11,-0.26,0.4,-0.2,-0.09,-0.29,0.17,-0.4,0.1,0.04,0.03,-0.54,-0.68,NA,NA
0.01,-0.13,0.11,0.34,0.18,0.49,-0.01,0.45,-0.33,0.47,0.13,0.24,-0.29,0.2,0.25,0.33,0.06,0.36,-0.04,-0.1,-0.11,0.49,0.55,-0.58,NA
