"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","mean_cliticalThinking_attitude","averageNumerical","averageNonNumerical","Effectiveness_3","Omicron_3","Safeness_3","Possibility_of_infec_3","Regret_3","health_correct_count","HBM_average_benefit_3","HBM_average_risk_3","numAttitude_average","HBM_average_acceptance_4","HBM_average_benefit_4","HBM_average_risk_4","num_vaccination_4","num_vaccination_3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.17,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04,0.32,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,0.08,0.05,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.12,0,0.01,0.02,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.15,-0.09,-0.04,-0.12,0.32,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.11,-0.1,0.03,-0.13,0.31,0.1,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.16,-0.12,0.04,-0.1,0.28,0.11,0.69,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.03,-0.11,-0.02,0.07,0.14,0.07,0.34,0.28,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,-0.04,-0.02,-0.19,0.31,0.09,0.65,0.77,0.68,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.35,0.07,0.03,0.06,0.08,-0.04,0.07,0.11,0.07,0.1,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.18,-0.11,-0.09,-0.15,0.42,0.16,0.83,0.73,0.75,0.31,0.7,0.15,NA,NA,NA,NA,NA,NA,NA,NA
-0.19,0.03,0,0.28,-0.21,0.01,-0.66,-0.62,-0.6,-0.11,-0.58,-0.07,-0.68,NA,NA,NA,NA,NA,NA,NA
0.37,0.29,0.11,0.45,0.24,0.12,0.03,0.09,0.08,0,0.13,0.21,0.1,-0.01,NA,NA,NA,NA,NA,NA
0.18,-0.07,-0.02,-0.09,0.21,0,0.49,0.49,0.46,0.27,0.58,0.01,0.53,-0.41,0.12,NA,NA,NA,NA,NA
0.2,0,0.07,-0.11,0.4,0.13,0.78,0.68,0.64,0.23,0.67,0.05,0.78,-0.67,0.13,0.56,NA,NA,NA,NA
-0.28,0.06,-0.07,0.19,-0.23,0,-0.63,-0.62,-0.64,-0.16,-0.58,-0.14,-0.68,0.78,-0.13,-0.52,-0.72,NA,NA,NA
0.17,-0.25,0.05,-0.12,0.3,0.1,0.58,0.73,0.62,0.33,0.66,0.14,0.68,-0.52,0.07,0.48,0.56,-0.56,NA,NA
0.13,-0.26,0.05,-0.14,0.3,0.11,0.57,0.69,0.59,0.34,0.63,0.11,0.65,-0.51,0.03,0.43,0.52,-0.51,0.96,NA
