"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk","Q1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,0.02,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,-0.02,-0.06,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.15,0.08,0.02,0.72,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.06,0,-0.04,0.73,0.61,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.12,-0.07,0.64,0.61,0.6,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.22,-0.15,-0.06,0.44,0.59,-0.16,0.55,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.22,0.15,-0.07,0.71,0.56,0.82,0.24,0.56,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,-0.12,0.02,0.79,0.78,0.32,0.68,0.27,0.49,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.13,-0.07,0.58,0.67,0.58,0.23,0.61,0.01,0.62,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.19,-0.15,0.03,0.31,0.6,-0.16,0.39,0,0.73,-0.18,0.48,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,0,-0.03,0.87,0.96,0.56,0.57,0.51,0.41,0.66,0.8,0.72,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.03,0.01,-0.05,0.96,0.87,0.65,0.77,0.66,0.56,0.54,0.68,0.53,0.37,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06,0.05,-0.01,0.9,0.69,0.82,0.77,0.5,0.23,0.68,0.61,0.52,0.13,0.7,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.12,-0.04,-0.09,0.74,0.83,0.26,0.53,0.65,0.78,0.22,0.55,0.39,0.55,0.63,0.84,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.16,0.02,-0.04,0.89,0.79,0.69,0.53,0.5,0.17,0.86,0.82,0.55,0.16,0.87,0.72,0.77,0.45,NA,NA,NA,NA,NA,NA,NA,NA
-0.09,-0.03,-0.02,0.57,0.84,0.23,0.43,0.35,0.54,0.23,0.52,0.68,0.81,0.83,0.59,0.4,0.63,0.44,NA,NA,NA,NA,NA,NA,NA
0.2,0.03,0,0.13,0.07,0.19,0.1,0.09,-0.07,0.13,0.06,0.13,-0.05,0.09,0.12,0.19,0.01,0.12,0.04,NA,NA,NA,NA,NA,NA
0.06,0.17,0.01,0.29,0.26,0.33,0.18,0.16,0.03,0.3,0.15,0.33,0.03,0.29,0.27,0.33,0.12,0.28,0.22,0,NA,NA,NA,NA,NA
0.04,-0.16,-0.08,0.04,-0.06,0.25,-0.15,0.19,-0.25,0.2,-0.06,0.01,-0.27,-0.05,0.01,0.07,-0.07,0.09,-0.19,0.05,0.11,NA,NA,NA,NA
0.21,0.14,0,0.36,0.23,0.62,0.02,0.46,-0.36,0.62,0.11,0.43,-0.26,0.31,0.27,0.42,0.01,0.45,0.06,0.16,0.18,0.36,NA,NA,NA
-0.18,0,0.01,-0.08,0.05,-0.37,0.16,-0.28,0.42,-0.39,0.11,-0.18,0.39,-0.01,-0.02,-0.15,0.14,-0.18,0.18,-0.12,-0.04,-0.38,-0.57,NA,NA
0.2,0.03,-0.07,0.23,0.12,0.45,-0.1,0.34,-0.32,0.49,0.07,0.3,-0.31,0.18,0.13,0.23,-0.02,0.34,-0.05,0.17,0.09,0.41,0.48,-0.37,NA
