"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","mean_cliticalThinking_attitude","averageNumerical","averageNonNumerical","Effectiveness_3","Omicron_3","Safeness_3","Possibility_of_infec_3","Regret_3","health_correct_count","HBM_average_benefit_3","HBM_average_risk_3","numAttitude_average","HBM_average_acceptance_4","HBM_average_benefit_4","HBM_average_risk_4","num_vaccination_4","num_vaccination_3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.05,0.17,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,0.02,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,-0.02,-0.06,-0.02,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.15,0.15,-0.07,-0.07,0.31,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.18,0.09,0.01,0.01,0.26,0.12,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.17,-0.01,0,-0.01,0.21,0.11,0.62,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.08,-0.04,-0.02,0.07,0.21,0.14,0.45,0.36,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,-0.01,-0.07,-0.1,0.22,0.05,0.62,0.72,0.57,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.03,0,0.01,0.13,0.07,0.08,0.12,0.08,0.06,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.13,0.05,-0.1,-0.07,0.42,0.24,0.82,0.71,0.67,0.47,0.66,0.17,NA,NA,NA,NA,NA,NA,NA,NA
-0.16,-0.1,0.12,0.15,-0.06,0.1,-0.54,-0.55,-0.4,-0.15,-0.53,-0.13,-0.54,NA,NA,NA,NA,NA,NA,NA
0.06,0.17,0.01,-0.02,0.29,0.26,0.17,0.02,0.09,0.19,0.11,0,0.2,0.03,NA,NA,NA,NA,NA,NA
0.04,-0.16,-0.08,0,0.04,-0.06,0.33,0.35,0.32,0.24,0.48,0.05,0.36,-0.33,0.11,NA,NA,NA,NA,NA
0.21,0.14,0,-0.07,0.36,0.23,0.63,0.57,0.44,0.19,0.52,0.16,0.66,-0.56,0.18,0.36,NA,NA,NA,NA
-0.18,0,0.01,0,-0.08,0.05,-0.44,-0.44,-0.38,-0.08,-0.41,-0.12,-0.46,0.71,-0.04,-0.38,-0.57,NA,NA,NA
0.2,0.03,-0.07,-0.07,0.23,0.12,0.55,0.72,0.54,0.36,0.67,0.17,0.61,-0.43,0.09,0.41,0.48,-0.37,NA,NA
0.16,0.03,-0.08,-0.07,0.22,0.11,0.54,0.7,0.53,0.35,0.65,0.17,0.6,-0.41,0.07,0.4,0.44,-0.36,0.97,NA
