,berlin_correct_count,mean_subjective_numeracy,averageNumerical,averageNonNumerical,averageInformativenessPositiveNumerical,averageInformativenessNetagtiveNumerical,averageInformativenessPositiveNonNumerical,averageInformativenessNetagtiveNonNumerical,averageCredibilityPositiveNumerical,averageCredibilityNetagtiveNumerical,averageCredibilityPositiveNonNumerical,averageCredibilityNetagtiveNonNumerical,averageCredibility,averageInformativeness,averageInformativenessNumerical,averageInformativenessNonNumerical,averageCredibilityNumerical,averageCredibilityNonNumerical,health_correct_count,数値態度_平均,HBM_average_Acceptance,HBM_average_Benefit,HBM_average_Risk,Q1
berlin_correct_count,,,,,,,,,,,,,,,,,,,,,,,,
mean_subjective_numeracy,0.04,,,,,,,,,,,,,,,,,,,,,,,
averageNumerical,0.03,0.19,,,,,,,,,,,,,,,,,,,,,,
averageNonNumerical,0.03,0.16,0.9,,,,,,,,,,,,,,,,,,,,,
averageInformativenessPositiveNumerical,0.03,0.15,0.71,0.48,,,,,,,,,,,,,,,,,,,,
averageInformativenessNetagtiveNumerical,0,0.16,0.64,0.54,0.16,,,,,,,,,,,,,,,,,,,
averageInformativenessPositiveNonNumerical,0.08,0.15,0.61,0.53,0.62,0.05,,,,,,,,,,,,,,,,,,
averageInformativenessNetagtiveNonNumerical,-0.1,-0.04,0.24,0.46,-0.38,0.48,-0.15,,,,,,,,,,,,,,,,,
averageCredibilityPositiveNumerical,0.08,0.21,0.66,0.49,0.82,0.05,0.56,-0.42,,,,,,,,,,,,,,,,
averageCredibilityNetagtiveNumerical,0.03,0.07,0.75,0.75,0.28,0.62,0.16,0.38,0.31,,,,,,,,,,,,,,,
averageCredibilityPositiveNonNumerical,0.15,0.24,0.58,0.64,0.66,0.14,0.56,-0.17,0.65,0.25,,,,,,,,,,,,,,
averageCredibilityNetagtiveNonNumerical,-0.09,-0.05,0.28,0.58,-0.21,0.45,-0.15,0.77,-0.28,0.45,0.04,,,,,,,,,,,,,
averageCredibility,0.05,0.17,0.87,0.94,0.58,0.49,0.42,0.23,0.63,0.77,0.72,0.49,,,,,,,,,,,,
averageInformativeness,0,0.17,0.94,0.86,0.6,0.72,0.62,0.42,0.43,0.62,0.5,0.38,0.74,,,,,,,,,,,
averageInformativenessNumerical,0.03,0.2,0.89,0.66,0.81,0.71,0.47,0.02,0.62,0.57,0.55,0.12,0.7,0.85,,,,,,,,,,
averageInformativenessNonNumerical,-0.03,0.07,0.63,0.75,0.11,0.44,0.56,0.73,0.03,0.43,0.24,0.55,0.49,0.78,0.34,,,,,,,,,
averageCredibilityNumerical,0.07,0.18,0.87,0.75,0.71,0.39,0.46,-0.06,0.84,0.78,0.58,0.07,0.86,0.64,0.74,0.27,,,,,,,,
averageCredibilityNonNumerical,0.02,0.11,0.57,0.83,0.24,0.43,0.22,0.49,0.18,0.5,0.64,0.79,0.81,0.6,0.42,0.57,0.4,,,,,,,
health_correct_count,0.13,0.03,-0.06,-0.13,0.01,0.05,0,-0.06,-0.07,-0.15,-0.08,-0.1,-0.15,0,0.04,-0.05,-0.13,-0.12,,,,,,
数値態度_平均,0.24,0.16,0.23,0.19,0.26,0.1,0.1,-0.14,0.29,0.2,0.26,-0.03,0.27,0.14,0.25,-0.05,0.3,0.14,-0.03,,,,,
HBM_average_Acceptance,0.01,-0.12,0.1,-0.07,0.41,-0.15,0.29,-0.49,0.32,-0.04,0.1,-0.33,0.01,0.02,0.21,-0.21,0.19,-0.19,-0.05,0.12,,,,
HBM_average_Benefit,0.19,0.05,0.35,0.16,0.66,-0.08,0.47,-0.54,0.68,0.04,0.4,-0.36,0.28,0.21,0.42,-0.13,0.47,-0.03,0.07,0.25,0.44,,,
HBM_average_Risk,-0.06,0,-0.04,0.12,-0.42,0.3,-0.24,0.55,-0.45,0.16,-0.17,0.45,0,0.08,-0.12,0.3,-0.21,0.24,-0.08,-0.1,-0.52,-0.6,,
Q1,0.11,0.02,0.27,0.14,0.56,-0.17,0.43,-0.48,0.57,0.02,0.41,-0.36,0.23,0.14,0.29,-0.1,0.39,-0.03,0.08,0.23,0.46,0.61,-0.54,
