"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","mean_cliticalThinking_attitude","averageNumerical","averageNonNumerical","Effectiveness_3","Omicron_3","Safeness_3","Possibility_of_infec_3","Regret_3","health_correct_count","HBM_average_benefit_3","HBM_average_risk_3","numAttitude_average","HBM_average_acceptance_4","HBM_average_benefit_4","HBM_average_risk_4","num_vaccination_4","num_vaccination_3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.09,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.03,0.19,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06,0.18,0.04,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,0.19,0.03,0.11,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.21,-0.01,0.04,0.38,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.09,0.22,0.03,0.18,0.37,0.26,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.07,0.05,-0.12,0.2,0.12,0.56,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.02,-0.01,-0.01,-0.01,0.08,0,0.38,0.35,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,0.15,0,0.13,0.3,0.18,0.74,0.8,0.55,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.16,0.14,-0.08,0.01,0.01,-0.01,-0.04,-0.02,0,-0.05,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.03,0.18,0.03,0,0.41,0.27,0.84,0.71,0.64,0.41,0.72,0,NA,NA,NA,NA,NA,NA,NA,NA
-0.04,-0.18,0.03,0.03,-0.08,0.03,-0.52,-0.58,-0.33,-0.18,-0.51,-0.06,-0.51,NA,NA,NA,NA,NA,NA,NA
0.1,0.07,-0.04,0.11,0.17,0.09,0.31,0.22,0.18,0.25,0.28,-0.02,0.26,-0.02,NA,NA,NA,NA,NA,NA
-0.07,-0.05,0.03,0.13,0.06,-0.06,0.34,0.44,0.22,0.22,0.5,-0.1,0.35,-0.38,0.19,NA,NA,NA,NA,NA
0.13,0.16,0.04,0.03,0.37,0.29,0.59,0.59,0.36,0.12,0.54,0.09,0.62,-0.46,0.33,0.28,NA,NA,NA,NA
-0.14,-0.28,-0.14,-0.12,-0.13,-0.05,-0.48,-0.53,-0.34,-0.07,-0.46,0.03,-0.47,0.68,-0.07,-0.4,-0.53,NA,NA,NA
0.14,0.14,-0.01,0.08,0.3,0.2,0.56,0.73,0.45,0.27,0.7,-0.01,0.57,-0.39,0.25,0.46,0.51,-0.41,NA,NA
0.12,0.11,0.03,0.07,0.28,0.19,0.54,0.7,0.44,0.25,0.67,-0.01,0.55,-0.39,0.23,0.45,0.48,-0.41,0.97,NA
