"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk","Q1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.17,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,0.08,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.12,0,0.01,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.14,-0.06,0.1,0.75,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.05,0.22,0.01,0.68,0.49,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.06,-0.1,-0.07,0.63,0.6,0.58,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.22,0.03,-0.05,0.26,0.52,-0.31,0.38,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.16,0.05,0.05,0.73,0.51,0.8,0.22,0.49,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,0.16,0.14,0.74,0.66,0.39,0.6,0.14,0.21,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.08,-0.13,-0.01,0.57,0.75,0.47,0.19,0.6,0.09,0.46,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.28,-0.03,-0.03,0.15,0.56,-0.3,0.24,-0.05,0.73,-0.26,0.22,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.05,0.02,0.06,0.81,0.94,0.5,0.46,0.45,0.29,0.64,0.76,0.77,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.08,0.03,0,0.93,0.81,0.65,0.71,0.7,0.44,0.49,0.54,0.54,0.25,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06,0.08,0.07,0.88,0.56,0.85,0.77,0.46,0,0.66,0.6,0.42,-0.07,0.6,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.21,-0.04,-0.08,0.6,0.77,0.15,0.36,0.68,0.76,0.09,0.25,0.46,0.51,0.5,0.77,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.16,0.12,0.11,0.84,0.66,0.7,0.46,0.37,-0.08,0.89,0.85,0.45,-0.04,0.8,0.59,0.73,0.19,NA,NA,NA,NA,NA,NA,NA,NA
-0.23,-0.1,-0.02,0.44,0.82,0.08,0.27,0.33,0.54,0.11,0.33,0.77,0.81,0.78,0.49,0.21,0.61,0.25,NA,NA,NA,NA,NA,NA,NA
0.35,0.07,0.03,0.08,-0.04,0.08,0.14,0.03,-0.02,0.04,0.05,-0.04,-0.18,-0.06,0.09,0.13,0,0.05,-0.14,NA,NA,NA,NA,NA,NA
0.37,0.29,0.11,0.24,0.12,0.18,0.23,-0.08,0.02,0.22,0.35,-0.02,-0.05,0.18,0.14,0.25,-0.03,0.32,-0.05,0.21,NA,NA,NA,NA,NA
0.18,-0.07,-0.02,0.21,0,0.44,-0.01,0.3,-0.32,0.33,0.03,0.07,-0.36,0.02,0.17,0.3,-0.04,0.22,-0.19,0.01,0.12,NA,NA,NA,NA
0.2,0,0.07,0.4,0.13,0.65,0.09,0.42,-0.46,0.62,0.15,0.25,-0.42,0.21,0.29,0.49,-0.07,0.46,-0.13,0.05,0.13,0.56,NA,NA,NA
-0.28,0.06,-0.07,-0.23,0,-0.5,0.04,-0.29,0.51,-0.51,-0.11,-0.18,0.5,-0.1,-0.1,-0.32,0.19,-0.37,0.22,-0.14,-0.13,-0.52,-0.72,NA,NA
0.17,-0.25,0.05,0.3,0.1,0.53,-0.05,0.42,-0.36,0.46,0.1,0.24,-0.42,0.13,0.22,0.33,0,0.34,-0.14,0.14,0.07,0.48,0.56,-0.56,NA
