"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk","Q1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.09,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06,0.18,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,0.19,0.03,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.09,0.24,0.1,0.75,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.03,0.01,-0.04,0.71,0.61,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,0.25,0.01,0.66,0.64,0.57,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.15,-0.15,-0.06,0.39,0.52,-0.14,0.58,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.14,0.27,0.08,0.71,0.58,0.83,0.18,0.56,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06,0.08,0.04,0.81,0.8,0.42,0.65,0.36,0.44,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.03,0.36,0.05,0.63,0.71,0.64,0.23,0.64,-0.02,0.64,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.16,-0.03,0,0.39,0.62,-0.03,0.51,0.06,0.76,-0.13,0.47,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.03,0.24,0.06,0.9,0.96,0.66,0.55,0.56,0.34,0.7,0.82,0.77,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,0.14,0.01,0.95,0.89,0.66,0.78,0.65,0.54,0.51,0.7,0.56,0.49,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.08,0.17,0.05,0.91,0.74,0.84,0.77,0.51,0.23,0.66,0.65,0.56,0.27,0.76,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.08,0.06,-0.04,0.73,0.82,0.27,0.58,0.65,0.75,0.19,0.57,0.41,0.62,0.63,0.84,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.12,0.21,0.07,0.89,0.8,0.75,0.46,0.54,0.09,0.88,0.83,0.62,0.17,0.88,0.7,0.77,0.42,NA,NA,NA,NA,NA,NA,NA,NA
-0.09,0.19,0.03,0.65,0.86,0.35,0.5,0.42,0.53,0.28,0.56,0.72,0.82,0.84,0.68,0.52,0.68,0.48,NA,NA,NA,NA,NA,NA,NA
0.16,0.14,-0.08,0.01,-0.01,0.02,0.1,0,0,-0.02,-0.07,0.03,0.02,-0.01,0.04,0.07,0,-0.05,0.04,NA,NA,NA,NA,NA,NA
0.1,0.07,-0.04,0.17,0.09,0.28,0.11,0.11,-0.13,0.21,0.08,0.17,-0.08,0.13,0.14,0.25,-0.03,0.18,0.04,-0.02,NA,NA,NA,NA,NA
-0.07,-0.05,0.03,0.06,-0.06,0.29,-0.15,0.17,-0.35,0.26,-0.01,0.02,-0.27,0,-0.02,0.11,-0.16,0.15,-0.18,-0.1,0.19,NA,NA,NA,NA
0.13,0.16,0.04,0.37,0.29,0.57,0.01,0.49,-0.32,0.57,0.13,0.48,-0.17,0.35,0.28,0.38,0.08,0.43,0.16,0.09,0.33,0.28,NA,NA,NA
-0.14,-0.28,-0.14,-0.13,-0.05,-0.43,0.22,-0.32,0.44,-0.48,0.08,-0.27,0.3,-0.13,-0.03,-0.16,0.13,-0.26,0.06,0.03,-0.07,-0.4,-0.53,NA,NA
0.14,0.14,-0.01,0.3,0.2,0.45,-0.01,0.37,-0.31,0.54,0.14,0.29,-0.21,0.27,0.19,0.3,0.01,0.42,0.02,-0.01,0.25,0.46,0.51,-0.41,NA
