model_id,dependent,independent,group_var,fit_chisq,fit_df,fit_p,fit_cfi,fit_tli,fit_rmsea,fit_srmr,r2_averageNumerical,r2_averageNonNumerical,r2_HBM_risk,r2_HBM_benefit,r2_dep,path,chisq_diff,df_diff,p_value,note
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,averageNumerical       ~ mean_subjective_numeracy,0.022,1,0.8819,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,averageNonNumerical    ~ mean_subjective_numeracy,1.121,1,0.2897,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_risk_3     ~ averageNumerical,0.348,1,0.555,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_risk_3     ~ averageNonNumerical,0.604,1,0.4371,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_benefit_3  ~ averageNumerical,1.267,1,0.2603,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_benefit_3  ~ averageNonNumerical,2.453,1,0.1173,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_acceptance_4               ~ HBM_average_benefit_3,0.238,1,0.6254,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_acceptance_4               ~ HBM_average_risk_3,0.016,1,0.8994,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,15.281,10,0.1222,0.988,0.964,0.061,0.033,0.159,0.006,0.211,0.21,0.244,averageNumerical       ~ numAttitude_average,2.106,1,0.1467,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,15.281,10,0.1222,0.988,0.964,0.061,0.033,0.159,0.006,0.211,0.21,0.244,averageNonNumerical    ~ numAttitude_average,0.972,1,0.3243,
