"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","QID1","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q2","Q5_1","Q6_1","Q7_1","Q8_1","Q9","Q40_1","COVID_pos","COVID_pos_others","COVID_pers_harm","COVID_pers_concern","COVID_concern_oth","COVID_gen_harm","COVID_comply_percent","COVID_comply_pers","CS_downloaded","CS_notwork_why_1","CS_notwork_why_2","CS_notwork_why_3","CS_notwork_why_4","CS_notwork_why_5","CS_notwork_why_6","gov_approval","COVID_info_source","Q60_1","Q60_2","Q60_3","Q60_4","Q60_5","Q60_6","Q60_7","Q60_8","Q60_9","Q60_10","Q60_11","Q60_12","Q150","Q163_1","Q163_2","Q163_3","Q163_4","Q163_5","Q163_6","Q72_1_1","Q72_1_2","Q72_1_3","Q72_1_4","Q72_1_5","Q72_1_6","Q72_1_7","Q72_1_8","Q72_1_9","Q72_1_10","Q72_1_11","Q72_1_12","Q72_2_1","Q72_2_2","Q72_2_3","Q72_2_4","Q72_2_5","Q72_2_6","Q72_2_7","Q72_2_8","Q72_2_9","Q72_2_10","Q72_2_11","Q72_2_12","Q72_3_1","Q72_3_2","Q72_3_3","Q72_3_4","Q72_3_5","Q72_3_6","Q72_3_7","Q72_3_8","Q72_3_9","Q72_3_10","Q72_3_11","Q72_3_12","Q72_4_1","Q72_4_2","Q72_4_3","Q72_4_4","Q72_4_5","Q72_4_6","Q72_4_7","Q72_4_8","Q72_4_9","Q72_4_10","Q72_4_11","Q72_4_12","Q72_5_1","Q72_5_2","Q72_5_3","Q72_5_4","Q72_5_5","Q72_5_6","Q72_5_7","Q72_5_8","Q72_5_9","Q72_5_10","Q72_5_11","Q72_5_12","Q72_6_1","Q72_6_2","Q72_6_3","Q72_6_4","Q72_6_5","Q72_6_6","Q72_6_7","Q72_6_8","Q72_6_9","Q72_6_10","Q72_6_11","Q72_6_12","Q72_7_1","Q72_7_2","Q72_7_3","Q72_7_4","Q72_7_5","Q72_7_6","Q72_7_7","Q72_7_8","Q72_7_9","Q72_7_10","Q72_7_11","Q72_7_12","Q72_8_1","Q72_8_2","Q72_8_3","Q72_8_4","Q72_8_5","Q72_8_6","Q72_8_7","Q72_8_8","Q72_8_9","Q72_8_10","Q72_8_11","Q72_8_12","Q72_9_1","Q72_9_2","Q72_9_3","Q72_9_4","Q72_9_5","Q72_9_6","Q72_9_7","Q72_9_8","Q72_9_9","Q72_9_10","Q72_9_11","Q72_9_12","Q76_1_1","Q76_1_2","Q76_1_3","Q76_1_4","Q76_1_5","Q76_1_6","Q76_1_7","Q76_1_8","Q76_1_9","Q76_1_10","Q76_1_11","Q76_1_12","Q76_2_1","Q76_2_2","Q76_2_3","Q76_2_4","Q76_2_5","Q76_2_6","Q76_2_7","Q76_2_8","Q76_2_9","Q76_2_10","Q76_2_11","Q76_2_12","Q76_3_1","Q76_3_2","Q76_3_3","Q76_3_4","Q76_3_5","Q76_3_6","Q76_3_7","Q76_3_8","Q76_3_9","Q76_3_10","Q76_3_11","Q76_3_12","Q76_4_1","Q76_4_2","Q76_4_3","Q76_4_4","Q76_4_5","Q76_4_6","Q76_4_7","Q76_4_8","Q76_4_9","Q76_4_10","Q76_4_11","Q76_4_12","Q76_5_1","Q76_5_2","Q76_5_3","Q76_5_4","Q76_5_5","Q76_5_6","Q76_5_7","Q76_5_8","Q76_5_9","Q76_5_10","Q76_5_11","Q76_5_12","Q76_6_1","Q76_6_2","Q76_6_3","Q76_6_4","Q76_6_5","Q76_6_6","Q76_6_7","Q76_6_8","Q76_6_9","Q76_6_10","Q76_6_11","Q76_6_12","Q76_7_1","Q76_7_2","Q76_7_3","Q76_7_4","Q76_7_5","Q76_7_6","Q76_7_7","Q76_7_8","Q76_7_9","Q76_7_10","Q76_7_11","Q76_7_12","Q76_8_1","Q76_8_2","Q76_8_3","Q76_8_4","Q76_8_5","Q76_8_6","Q76_8_7","Q76_8_8","Q76_8_9","Q76_8_10","Q76_8_11","Q76_8_12","Q76_9_1","Q76_9_2","Q76_9_3","Q76_9_4","Q76_9_5","Q76_9_6","Q76_9_7","Q76_9_8","Q76_9_9","Q76_9_10","Q76_9_11","Q76_9_12","Q63_1","Q63_2","Q63_3","Q63_4","Q63_5","Q65_1","Q65_2","Q65_3","Q65_4","Q65_5","Q65_6","Q65_7","Q65_8","Q65_9","Q65_10","Q65_11","Q65_12","Q65_13","Q65_14","Q65_15","Q65_16","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q13","Q64_1","Q64_2","Q64_3","Q64_4","Q64_8","Q38","id","eqtid","mean_subjective_numeracy","berlin_oneItem"
"2022/3/17 11:06","2022/3/17 11:17",0,"221.251.140.154",100,667,1,"2022/3/17 11:17","R_25uOwR2CIZv0h8T",NA,NA,NA,NA,35.65170288,139.322113,"anonymous","JA",2,1,1,NA,NA,NA,NA,4,3,5,4,4,3,4,0,0,2,3,3,4,80,3,2,NA,NA,NA,NA,NA,NA,4,2,4,2,4,4,4,2,4,2,4,4,4,4,1,2,6,3,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,NA,NA,NA,NA,1,"","test_cm01","5ff052c44334ca6682c4e066452a55d68e22c33d",2.8,1
"2022/3/17 11:19","2022/3/17 11:22",0,"221.251.140.154",100,198,1,"2022/3/17 11:22","R_25dkIotnaIcZfEJ",NA,NA,NA,NA,35.65170288,139.322113,"anonymous","JA",2,NA,1,NA,NA,NA,NA,4,4,4,5,5,2,4,0,0,3,3,3,3,50,3,0,1,NA,NA,NA,NA,NA,3,1,4,2,4,4,4,2,4,4,4,4,4,4,1,2,6,4,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,1,1,1,1,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,4,3,2,2,NA,NA,NA,NA,1,"","test_cm02","5ff052c44334ca6682c4e066452a55d68e22c33d",3,1
"2022/3/17 17:34","2022/3/17 17:38",0,"221.251.140.154",100,213,1,"2022/3/17 17:38","R_sq8PggiISmzstwJ",NA,NA,NA,NA,35.65170288,139.322113,"anonymous","JA",2,NA,1,NA,NA,NA,NA,4,4,4,4,4,2,3,0,0,3,3,3,3,70,2,2,NA,NA,NA,NA,NA,NA,4,3,4,4,4,4,2,4,2,4,4,4,4,4,1,1,5,2,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1,NA,NA,1,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,1,NA,NA,NA,NA,"","test_cm03","5ff052c44334ca6682c4e066452a55d68e22c33d",2.8,0
"2022/3/22 19:31","2022/3/22 19:35",0,"121.80.171.83",100,247,1,"2022/3/22 19:35","R_1nZaWrOwuMM9dms",NA,NA,NA,NA,34.7427063,135.8204041,"anonymous","JA",2,1,1,NA,1,NA,NA,6,7,7,8,7,3,6,0,1,4,4,4,4,50,4,1,NA,NA,NA,NA,NA,NA,4,5,6,6,6,6,6,6,6,6,6,6,6,6,1,2,1,3,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,1,4,4,4,4,4,5,4,4,4,2,4,NA,NA,NA,NA,1,"特になし","BFmqB4KLYS9T","5ff052c44334ca6682c4e066452a55d68e22c33d",3.8,0
"2022/3/22 19:34","2022/3/22 19:37",0,"113.156.123.19",100,154,1,"2022/3/22 19:37","R_XZ1krFFliL2TlU5",NA,NA,NA,NA,35.65170288,139.322113,"anonymous","JA",4,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,6,4,0,0,3,3,3,3,0,1,2,NA,NA,NA,NA,NA,NA,3,7,4,4,4,4,4,4,4,4,4,4,4,4,4,6,2,3,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,NA,NA,NA,NA,1,"1","MfxgL8EdduuT","5ff052c44334ca6682c4e066452a55d68e22c33d",3.6,0
"2022/3/22 19:35","2022/3/22 19:40",0,"101.142.153.97",100,304,1,"2022/3/22 19:40","R_RaxSA9VpdPb5J3r",NA,NA,NA,NA,34.83079529,135.2164917,"anonymous","JA",2,NA,NA,NA,1,NA,NA,5,4,3,3,2,6,4,0,0,2,2,2,2,30,8,2,NA,NA,NA,NA,NA,NA,2,5,4,4,4,4,4,2,2,2,2,2,2,2,1,2,3,4,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,NA,NA,NA,NA,1,"","bhsn5vMyCua7","5ff052c44334ca6682c4e066452a55d68e22c33d",3.2,0
"2022/3/22 19:37","2022/3/22 19:41",0,"114.145.212.186",100,239,1,"2022/3/22 19:41","R_2CU2jEn8fGQQziu",NA,NA,NA,NA,35.60429382,140.1205139,"anonymous","JA",2,1,1,1,1,NA,NA,4,4,4,4,4,3,3,0,0,3,3,3,3,70,3,2,NA,NA,NA,NA,NA,NA,3,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,3,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,2,NA,NA,NA,NA,1,"","kRhMX6aXHGr9","5ff052c44334ca6682c4e066452a55d68e22c33d",3.4,1
"2022/3/22 19:35","2022/3/22 19:41",0,"133.33.58.125",100,358,1,"2022/3/22 19:41","R_1LoFGQOShCt7uAV",NA,NA,NA,NA,34.98820496,138.3742065,"anonymous","JA",2,1,1,NA,NA,NA,NA,6,5,4,3,3,3,6,0,1,3,3,3,2,60,2,2,NA,NA,NA,NA,NA,NA,2,1,2,4,5,4,5,2,2,2,5,5,4,4,1,1,2,3,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,3,3,3,4,4,4,4,4,4,4,3,3,3,4,4,3,3,5,5,5,5,5,1,NA,NA,NA,NA,1,"","IKjPckUZrEtl","5ff052c44334ca6682c4e066452a55d68e22c33d",5,0
"2022/3/22 19:35","2022/3/22 19:42",0,"126.209.49.208",100,401,1,"2022/3/22 19:42","R_1Don3ynNwxxpURz",NA,NA,NA,NA,35.68969727,139.6895142,"anonymous","JA",2,1,NA,NA,1,NA,NA,6,5,1,5,3,6,4,0,0,4,3,3,5,70,4,2,NA,NA,NA,NA,NA,NA,3,5,4,4,4,5,4,1,2,2,4,4,2,2,1,1,5,3,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,1,3,1,2,3,1,3,1,3,2,2,1,3,3,1,2,2,1,1,2,3,2,2,1,NA,NA,NA,NA,1,"とくにありません","SJJGnEzCbP7E","5ff052c44334ca6682c4e066452a55d68e22c33d",2,0
"2022/3/22 19:38","2022/3/22 19:42",0,"115.37.141.145",100,259,1,"2022/3/22 19:42","R_21jjn5YR4ta7GoR",NA,NA,NA,NA,34.98820496,138.3742065,"anonymous","JA",2,NA,1,NA,1,NA,NA,4,4,4,5,4,3,4,0,0,2,3,3,3,50,4,2,NA,NA,NA,NA,NA,NA,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1,6,4,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,4,2,NA,NA,NA,NA,1,"","71IDMOvAdWoY","5ff052c44334ca6682c4e066452a55d68e22c33d",4.2,1
