StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Attitude_1_1,Attitude_2_1,Benefit_1_1,Benefit_2_1,Risk_1_1,Risk_2_1,Q9,Q10,Q11,Q12,Q13,Info_Info_1,Info_Info_2,Info_Info_3,Info_Info_4,Info_Info_5,Info_Info_6,Info_Info_7,Info_Info_8,Info_Info_9,Info_Info_10,Info_Info_11,Info_Info_12,Info_Cred_1,Info_Cred_2,Info_Cred_3,Info_Cred_4,Info_Cred_5,Info_Cred_6,Info_Cred_7,Info_Cred_8,Info_Cred_9,Info_Cred_10,Info_Cred_11,Info_Cred_12,Info_Cred_13,H_Num1,H_Num2,H_Num3,H_Num4,H_Num5,Q22,id,eqtid
2022/8/26 13:40,2022/8/26 13:41,1,,100,50,1,2022/8/26 13:41,R_TpEyZ1SROYVdfQ5,,,,,35.6893,139.6899,preview,JA,2,0,0,2,,2,2,2,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/26 13:41,2022/8/26 13:41,1,,100,8,1,2022/8/26 13:41,R_2E6mwmxc2a83xud,,,,,35.6893,139.6899,preview,JA,2,0,0,2,,2,2,2,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/26 13:43,2022/8/26 13:43,1,,100,9,1,2022/8/26 13:43,R_2WT543S92rcXFUs,,,,,35.6893,139.6899,preview,JA,2,0,0,2,,2,2,2,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/26 13:44,2022/8/26 13:45,1,,100,30,1,2022/8/26 13:45,R_3NU0Q0Hdvp935QV,,,,,35.6893,139.6899,preview,JA,2,0,0,2,,2,2,2,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/26 13:48,2022/8/26 13:49,1,,100,25,1,2022/8/26 13:49,R_We67hBFk26ja7El,,,,,35.6893,139.6899,preview,JA,2,0,0,2,,2,2,2,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/9/2 12:50,2022/9/2 12:51,1,,100,80,1,2022/9/2 12:51,R_12i3wo1Bf8DjwNo,,,,,35.0203,135.7602,preview,JA,2,0,0,2,,2,2,2,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,
2022/9/2 13:05,2022/9/2 13:06,1,,100,68,1,2022/9/2 13:06,R_3KCl4MJDw3bFPun,,,,,35.0203,135.7602,preview,JA,2,0,0,2,,2,2,2,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,
2022/9/2 13:19,2022/9/2 13:19,1,,100,25,1,2022/9/2 13:19,R_1g0U2VFnCE6NBhc,,,,,35.0203,135.7602,preview,JA,2,0,0,2,,2,2,2,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,
2022/9/26 17:42,2022/9/26 17:50,0,106.155.5.14,100,514,1,2022/9/26 17:50,R_ZKJ2Z4tdu8NTpjH,,,,,35.6893,139.6899,anonymous,JA,3,1,1,6,6,4,6,3,,,,,,,3,2,2,3,2,6,5,3,3,3,6,2,2,6,2,5,1,3,3,2,3,6,5,2,3,3,1,2,1,,4,2,3,2,2,,,
2022/9/26 21:04,2022/9/26 21:10,0,106.185.146.157,100,353,1,2022/9/26 21:10,R_26mB6VBMHfQtA0R,,,,,35.6897,139.6895,anonymous,JA,3,0,1,7,5,5,4,5,,,,,,,4,3,3,3,1,6,6,6,6,6,6,5,3,5,5,3,5,6,5,5,5,6,5,2,3,2,4,3,2,,4,2,3,2,2,,,
2022/9/26 21:22,2022/9/26 21:33,0,123.198.204.173,100,683,1,2022/9/26 21:33,R_2AMQMkpDnDDfLoO,,,,,35.0203,135.7602,anonymous,JA,3,0,1,6,5,5,6,4,,,,,,,4,3,3,4,2,6,7,5,5,5,6,3,4,5,4,5,1,7,6,7,5,6,6,1,5,6,5,5,3,,4,2,3,2,2,,,
2022/9/26 23:15,2022/9/26 23:21,0,126.236.54.65,100,355,1,2022/9/26 23:21,R_2OHbvnvKhqwFblZ,,,,,35.6897,139.6895,anonymous,JA,2,1,1,6,6,2,5,5,,,,,,,4,3,3,4,2,5,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,,4,2,3,2,1,,,
2022/9/28 2:16,2022/9/28 2:35,0,133.106.32.141,100,1166,1,2022/9/28 2:36,R_1Dp3BXUqaTHBXnd,,,,,35.6893,139.6899,anonymous,JA,5,0,1,2,1,1,4,1,,,,,,,4,3,3,4,1,4,3,1,1,1,2,1,7,7,1,2,1,2,2,2,4,4,4,1,4,6,5,6,1,,4,2,3,2,2,,,
2022/9/26 17:34,2022/9/26 17:34,0,123.222.100.137,4,7,0,2022/10/3 17:34,R_1Q6kTJUeZajbfOw,,,,,,,anonymous,JA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/27 15:25,2022/10/27 15:50,0,133.3.201.152,100,1496,1,2022/10/27 15:50,R_1GT6qatUHjsj9P4,,,,,35.0203,135.7602,anonymous,JA,2,0,1,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,,2,2,2,2,2,,,
2022/10/27 15:50,2022/10/27 15:57,0,133.3.201.152,100,409,1,2022/10/27 15:57,R_1jfw3HY6Dgg6xGJ,,,,,35.0203,135.7602,anonymous,JA,3,0,0,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,最後,,
2022/10/28 4:46,2022/10/28 5:13,0,123.222.107.129,100,1602,1,2022/10/28 5:13,R_1FfV6QSrgBWwMK1,,,,,35.0203,135.7602,anonymous,JA,4,1,1,5,7,2,6,6,4,2,4,4,1,1,4,4,4,4,5,6,6,6,6,5,5,4,5,5,1,2,1,6,6,6,5,4,6,2,5,5,4,6,1,,4,2,3,2,2,楠見のテスト,,
2022/10/28 14:03,2022/10/28 14:17,0,133.3.201.14,100,823,1,2022/10/28 14:17,R_1LBalW841Rbz2qa,,,,,35.0203,135.7602,anonymous,JA,3,1,1,4,5,3,4,2,4,2,3,3,4,3,3,4,3,3,5,6,6,5,6,4,4,2,5,3,4,4,2,6,5,6,4,5,5,2,5,2,5,4,4,,4,2,3,2,4,テスト,,
2022/10/28 15:09,2022/10/28 15:10,1,,100,66,1,2022/10/28 15:10,R_25EkstkjMUVyT44,,,,,35.0203,135.7602,preview,JA,2,0,0,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,4,2,2,2,4,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
2022/10/28 15:17,2022/10/28 15:18,1,,100,62,1,2022/10/28 15:18,R_3Em3goIx35w1y8H,,,,,35.0203,135.7602,preview,JA,0,0,0,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
2022/10/28 15:29,2022/10/28 15:31,1,,100,123,1,2022/10/28 15:31,R_vlCtabZ1008BbHj,,,,,35.0203,135.7602,preview,JA,2,0,0,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,
2022/10/28 17:53,2022/10/28 17:56,0,119.75.226.67,100,213,1,2022/10/28 17:56,R_3KW5jnVvEO9rt6W,,,,,35.7283,139.7219,anonymous,JA,5,0,0,1,1,1,7,2,2,4,3,4,4,3,2,2,3,3,2,1,1,1,1,1,1,1,7,1,7,2,1,2,2,3,3,3,2,2,2,3,2,5,3,,1,1,1,4,1,,test001,fe7495ade47184a0c00172174b0db134d5040a8a
2022/10/31 10:26,2022/10/31 10:28,0,58.12.232.74,100,85,1,2022/10/31 10:28,R_ToowhZ66tsLIEU1,,,,,35.6897,139.6895,anonymous,JA,0,0,0,3,7,2,1,7,4,5,1,2,1,5,2,2,2,1,1,1,1,1,7,7,1,2,1,1,7,2,3,1,2,1,5,7,1,7,7,2,7,1,1,1,2,3,2,1,2,,test003,fe7495ade47184a0c00172174b0db134d5040a8a
2022/10/31 10:28,2022/10/31 10:29,0,58.12.232.74,100,75,1,2022/10/31 10:29,R_3qBywYJonv2tedN,,,,,35.6897,139.6895,anonymous,JA,3,1,1,6,1,2,1,1,5,1,1,2,1,1,5,1,1,1,2,7,1,2,7,1,1,1,1,1,1,1,7,1,7,7,1,1,1,1,1,2,1,3,1,1,2,4,4,4,2,test,test004,fe7495ade47184a0c00172174b0db134d5040a8a
